Organisation,KVK number
C & C Asian Market,66193850
C & D Foods (Netherlands) B.V.,34215779
C Teleport B.V.,72063920
C&E Development B.V.,24418153
C&J International Trading B.V.,78128048
C. Fleet Supervision B.V.,50675885
C. Steinweg-Handelsveem B.V.,24001123
C.C.S. Conmar Coating Services B.V.,30199113
C.E.M.S. (Community of European Management Schools) Alumni Association the Netherlands,40348052
C.H. Robinson Europe B.V.,34184256
C.O.H.E.,33282028
C.P.I. Governance B.V.,34224065
C1 Connections B.V.,74750534
CA Software Holding B.V.,24242191
Cabka N.V.,80504493
Cabooter Logistics B.V.,12035177
Cabot B.V.,24108495
"CACEIS Bank, Netherlands Branch",67323944
CAD2M B.V.,09132824
Cadac Group ISV B.V.,14095746
CADCAM-E Netherlands B.V.,72611022
Cadence Design Systems B.V.,17065436
Cadir Restaurant B.V.,61806269
Cadmatic B.V.,02034210
Cadran Consultancy B.V.,32073161
CAE Aviation Training B.V.,33294836
CAE CFT B.V.,28099150
Caely Renewables B.V.,83482059
CAF Netherlands B.V.,68114109
Cafiver International B.V.,69226555
Cagemax Holding B.V.,01097692
Cainiao (Netherlands) B.V.,78300568
Cainiao Supply Chain Netherlands B.V.,69413320
Cairn Real Estate B.V.,08149727
CAL Consult Nederland B.V.,09078710
Calcit Zeeland B.V.,72975784
Caldic B.V.,24248451
CALIBER TECHNOLOGIES B.V.,86572911
Caliber.global B.V.,53654889
Callisto Integration Europe B.V.,64030644
Callisto Web Solutions B.V.,72985518
Calvin Klein Europe B.V.,24271819
CAM Bioceramics B.V.,27324016
Cameo Global B.V.,60396024
Camping De Robbenjager B.V.,85118036
Camposol Fresh B.V,24152493
Campuskey B.V.,73011231
Canfield Scientific Europe B.V.,34302429
Cankara Telecom,58615709
Canline Systems B.V.,17270973
Canna Corporate B.V.,20105847
Canon Europa N.V.,33166721
Canon Medical Components Europe B.V.,86954547
Canon Medical Informatics B.V.,30141061
Canon Medical Informatics Europe B.V.,27288635
Canon Medical Systems Europe B.V.,27143943
Canon Production Printing Netherlands B.V.,12002662
CAN-PACK Netherlands B.V.,65982584
CANSO B.V.,55171427
Canyon Nederland B.V.,55655963
Caotech B.V.,37077521
Capayable B.V.,59234784
Cape Five NL B.V.,11070278
Cape Global International Developments Nederland,51019418
Cape Systems Integration B.V.,08166119
Capgemini Nederland B.V.,30053172
CapitalT Management B.V.,74392980
Caple B.V.,64272826
CAPLINQ Europe B.V.,52503208
Capptions B.V.,27305863
CAPREIT NL I B.V.,67506488
Capstone Advisory B.V.,73300136
Capte B.V.,70155844
CaptureTech Products B.V.,28084840
Carat Nederland B.V.,34186991
CarbExplore Research B.V.,68097522
Carbon Trust Europe B.V.,74185039
CarbonX B.V.,60071052
Carbyon B.V.,76485161
Cardano Risk Management B.V.,24308915
Cardia International B.V.,66173132
CardiacBooster B.V.,71058176
Cardimed B.V.,56246145
CardioTek B.V.,14097237
Care Force Medical B.V.,50226045
Care4Agro B.V.,76517721
CarePay International B.V.,68738129
CareServant B.V.,57598274
Cargill B.V.,33119622
Cargill Bioindustrial B.V.,24324849
Cargo B.V.,86197517
Cargo King B.V.,34260448
Cargonaut Nederland B.V.,51782952
Carhartt B.V. -EMEA,05060293
Carl Zeiss B.V.,32033579
Carlier Group B.V.,52462862
Carlisle Construction Materials B.V.,05083686
Carnival Plc,32141387
Carrier Fire & Security B.V.,13033009
Carrier Transicold Ltd.,24137858
Carrière Detachering B.V.,50741128
Carrière Personeelsdiensten B.V.,50778366
CarShare Ventures B.V.,55839118
Cartama Europe B.V.,78610052
Carthago Consultancy B.V.,24265198
CARU Containers B.V.,20074202
CarUX Technology Europe B.V.,14088784
Carv.com B.V.,84849738
Carya Automatisering V.O.F.,27260060
Cascoland,55552765
Caselex B.V.,64887944
Casengo Facilities B.V.,56953054
Caseware Nederland B.V.,22031439
Caspar B.V.,75121743
Casper B.V.,51021153
Caspian Investments Resources Ltd.,64754286
Cass Europe B.V.,51862980
Cassini Technologies B.V.,70847932
Castor Marine B.V.,32130742
Castor Networks B.V.,32111065
Cataly Partners B.V.,24431634
Catalyze B.V.,70456674
Catawiki B.V.,01131735
Catella IM Benelux B.V.,56049773
Catella Residential Investment Management GmbH,88738140
Caterpillar Work Tools B.V.,16047090
Catexel B.V.,24332343
Cathay Pacific Airways Limited,34079171
Cato Networks (EU) B.V.,80906036
Cavotec Nederland B.V.,23078227
CB&I Nederland B.V.,27049906
CBE Staffing B.V.,33300166
CBMM Europe B.V.,34259328
Cboe Clear Europe N.V.,34268194
CBOE Europe B.V.,72273968
Cboe Netherlands Services Company B.V.,80564313
C-Boost B.V.,75781824
CBOX Containers Netherlands B.V.,56549121
CBRE B.V.,33191573
CBRE Global Investment Administration B.V.,63072297
CBRE GWS Integrated Facility Management B.V.,33273785
CBRE Investment Management Indirect Holding B.V.,27292128
CBRE Investment Management Personnel Services B.V.,34278673
CBRE Valuation & Advisory Services B.V.,34202510
CBS Development B.V.,77561619
CBS International (Netherlands) B.V.,33122106
CBTJ Financial Services B.V.,34181848
CC Beverages Holdings II B.V.,33298456
CC7 Europe B.V.,81924305
CCIC Europe B.V.,24331915
CCIC EUROPE Food Test B.V.,66758483
CCIC Netherlands B.V.,68730306
CCmath B.V.,34231454
C-Corp B.V.,22035259
CCV Group B.V.,09045274
CCWH Holding B.V.,53497864
CDR International B.V.,56270127
CDS Development B.V.,58519505
CE Delft,27251086
CEAD B.V.,64651126
CEAT Specialty Tyres B.V.,68642547
CECS B.V.,68816308
CeDo Recycling B.V.,14066702
CEE-BIG B.V.,34305204
Cefetra Group B.V.,56121172
Cegeka Business Solutions Real Estate Software B.V.,34104715
Cegeka Nederland,30091566
Cegelec Industry B.V.,56833695
Celanese Europe B.V.,61484660
Celebratix B.V.,89487621
Celestia Satellite Test and Simulation B.V.,65304209
Cell Signaling Technology Europe B.V.,28100442
Cellex B.V.,91700604
Cellmark Netherlands B.V.,76054926
Cellnex Netherlands B.V.,56564767
CellSens B.V.,09221168
Celltrion Healthcare Netherlands B.V.,70819742
Celonis B.V.,67121780
CelSian Glass & Solar B.V.,54306272
Cenosco Custom B.V.,27314026
Censo Data Solutions B.V.,09171892
Center Parcs Europe N.V.,34136068
Centerdam Hotel B.V.,50807137
Centillion Solutions B.V.,85048100
Centraal Bureau Rijvaardigheidsbewijzen,56809786
Centraal Bureau voor de Statistiek,51197073
Centraal Planbureau,52813150
Centralis Netherlands B.V.,52887227
Centre for Human Drug Research,41167480
Centric Netherlands B.V.,24181890
Centrient Holding B.V.,71889027
Centrient Pharmaceuticals Netherlands B.V.,14090826
Centrum voor Tandheelkunde Maarheeze B.V.,73473782
Century Distribution Systems (Europe) B.V.,24374662
Cepheid Netherlands B.V.,82966672
Ceradis B.V.,09156772
Cerberus Global Investments B.V.,34208986
Cerence B.V.,74815571
CerQlar Solutions Group B.V.,76658821
Certara Netherlands B.V.,20152950
Certhon Build B.V.,27237620
Certis,30110489
Certus Port Automation B.V.,58796762
Cervo Dienstverlening B.V.,32130659
CET Logistics B.V.,70898375
CEVA Freight Holland B.V.,34034262
CEVA Logistics Headoffice B.V.,33132522
CEVA Logistics Netherlands B.V.,16066165
Cevinio B.V.,34219654
CF Industrial B.V.,53010302
CFF Communications B.V.,33245987
CFP Groep B.V.,74703919
CG Drives & Automation Netherlands B.V.,17033961
CG Holding B.V.,63402475
CGE Risk Management Solutions B.V.,27379386
CGG Services (NL) B.V.,24294747
CGI Nederland B.V.,33136004
Chain Professionals B.V.,66326508
ChainBalance B.V.,30205205
ChainCraft B.V.,09222453
CHAINels B.V.,54175437
Chain-IC B.V.,81184476
Chainn B.V.,72316721
ChainStock B.V.,73410381
Chain-Sys Europa B.V.,55888569
Chane Terminals B.V.,35017577
ChannelEngine.com B.V.,63350726
Channext,72595752
Chapman Bright B.V.,65759028
Chargebee B.V.,75453797
ChargePoint Network (Netherlands) B.V.,66828147
ChargeSight B.V.,83575502
Chargetrip,65426959
Charles River Laboratories Den Bosch B.V.,16055281
Charles River Nederland B.V.,34137756
Charlie works crew B.V.,59486821
Chartboost B.V.,57696713
Châteraisé Europe B.V.,80659306
CHE B.V.,70591636
Check Technologies B.V.,74034057
CheckMark Laboratorium Support B.V.,18024786
Checkout Group B.V.,74268341
Checkpoint Apparel Labeling B.V.,09062615
Cheddar Payments B.V.,78307635
Cheers Interactive (Netherlands) B.V.,63420295
Cheil Benelux B.V.,54115957
Chemelco International B.V.,31027478
Chemelot Campus B.V.,52201619
Chemours Netherlands,54013445
Chemploy B.V.,62267604
ChemPoint.com EMEA B.V.,50893254
Chemship B.V.,30086290
Chep Benelux Nederland B.V.,28032707
Chevron Oronite Technology B.V.,27058602
Chiesi Pharmaceuticals B.V.,34163035
CHILAS B.V.,73281298
Chimbusco Europe B.V.,24176325
ChimpWorks B.V.,58052577
China Airlines Ltd.,33171485
China Carbon N.V.,34256051
China Cargo Airlines Company Limited,56359152
China Center Amsterdam B.V.,53832248
China Classification Society Rotterdam B.V.,52350932
China Construction Bank (Europe) S.A. Amsterdam Branch,62538519
China Eastern Airlines Corporation Limited,66171717
China Great Hotel Management B.V.,52693457
China Light Festival B.V.,56151209
China Si Chuan Warmoesstraat B.V.,66047544
China Southern Airlines Amsterdam Office,33284086
"China Taiping Insurance (UK) Co Ltd, the Netherlands Branch",24355743
Chinees Specialiteiten Restaurant Mountain Spring,64629260
Chinese Medical Center,33271637
CHINT Electrics Netherlands B.V.,68935471
Chios Media B.V.,32078547
Chiquita Europe B.V.,20077397
ChiroBalance,73546526
Chiropractie Borger,01154306
Chiropractie Castricum B.V.,37125726
Chiropractie Centraal B.V.,82484767
Chiropractie De Pijp,62948318
Chiropractie Den Haag B.V.,81128355
Chiropractie Doetinchem B.V.,55915922
Chiropractie Emmen B.V.,04087570
Chiropractie Kampen B.V.,05086264
Chiropractie LaFlamme,84311363
Chiropractie Leiden,28052651
Chiropractie Mulder,55953670
Chiropractie Noordwijk B.V.,28071156
Chiropractie Praktijk Kennemerland,34151446
Chiropractie R. Blaauw B.V.,55440932
Chiropractie Rugcentrum Assen B.V.,77770927
Chiropractie Rugcentrum Groningen B.V.,77770757
Chiropractie Rugcentrum Zwolle B.V.,73872393
Chiropractie Westland B.V.,27325250
Chiropractie Wijchen,09182391
Chiropractie Wolters B.V.,12034400
Chiropractie Zoetermeer,69056439
Chiropractor van der Veen B.V.,09108991
Chiropractor Van der Veen v.o.f.,09187247
Chiyoda Corporation Netherlands B.V.,56569890
Choice Hotels Licensing B.V.,34135974
Choice in Energy B.V.,72930624
Chordify B.V.,60387238
Chr. Muller Touw B.V.,09055321
Christian Dior Netherlands B.V.,54864046
Chroma Ate Europe B.V.,09105261
Chromalloy Holland B.V.,18030901
Chrysal International B.V.,32029274
Chrysalix Netherlands B.V.,74526758
Chubb European Group SE,24353249
Chubb Fire & Security B.V.,33257455
Chubby Gorilla Europe B.V.,73558729
Chubu Electric Power Company Netherlands B.V.,75639815
Chugoku Paints B.V.,20038825
CI IV Coöperatief U.A.,77404777
CI NMF I Coöperatief U.A.,75107910
CIC International B.V.,65212142
CIC NL B.V.,62074962
Cicek Ler Telecommunicatie B.V.,27189920
CIG Architecture B.V.,28116301
Cignal Infrastructure Netherlands B.V.,72488735
CiMaas B.V.,62806386
Cimpor Global Holdings B.V.,72885327
Cimpress Investments B.V.,57476586
Cimsolutions,23068838
cimt B.V.,27315486
Cimtaq B.V.,66412188
CINAR INFRA B.V.,75161915
Cincero IT B.V.,68454244
Cintex Group Holding B.V.,57647593
CipherLab Europe Representative Office,65407679
Cipla Holding B.V.,58651160
Circana B.V.,18043306
Circle B B.V.,70274916
Circle Imperium B.V.,60993448
CircleCI Netherlands B.V.,61013366
Circonica Circular Energy B.V.,72954590
Circular IQ B.V.,65210956
Circularise B.V.,66543339
Cirrus B.V.,61107581
CIS Management B.V.,21016442
Cisco Netherlands B.V.,78517273
