Organisation,KVK number
D&M Europe B.V.,17073774
D. SOLUTIONS B.V.,73358525
D. TRADING B.V.,73358355
D.O.R.C. Dutch Ophthalmic Research Center (International) B.V.,24167879
D.P. Supply B.V.,04043678
D.Q.A. Pharma International B.V.,23087494
D/DOCK B.V.,75191687
D2D Holding B.V.,62708996
D2X Group N.V.,82248915
Da Vinci Derivatives B.V.,63796473
Da Vinci Group B.V.,62888315
Da Vinci Laboratory Solutions B.V.,24312114
Daarnhouwer & Co B.V.,35026025
Dada Consultancy B.V.,09106692
Daedong Kioti Europe B.V.,24484869
Daesang Europe B.V.,33256878
DAF Trucks N.V.,17078445
Dagi Metals B.V.,06078549
Dahua Europe B.V.,61278629
DAIA Luxembourg Holding S.à r.l.,90286693
Daikin Chemical Netherlands B.V.,18049280
Daily Paper Wholesale B.V.,68051875
Dainippon Screen (Nederland) B.V.,33163141
DairyDataWarehouse B.V.,51385309
Daisycon B.V.,39073684
Daisys B.V.,77947002
Daitron (Netherlands) B.V.,88695891
Daiwa House Europe B.V.,77560809
Daiwa Kasei Europe B.V.,62679465
Daksh B.V.,61123498
Daksha Consultancy B.V.,84759003
Dallas Netherlands Cooperative U.A.,64235254
Dalsem B.V.,27221420
Dam 9 B.V.,58172149
Damen Civil & Modular Constructions B.V.,80687628
Damen Dredging Equipment B.V.,08018149
Damen Global Support B.V.,58686010
Damen Marine Components Netherlands B.V.,23033889
Damen Offshore & Specialized Vessels B.V.,73405345
Damen Research Development & Innovation B.V.,84607343
Damen Schelde Naval Shipbuilding B.V.,22044040
Damen Services B.V.,76791718
Damen Shiprepair Rotterdam B.V.,11044239
Damen Workboats B.V.,76792595
Damen Yachting B.V.,22047281
Dana Petroleum Netherlands B.V.,27120679
Dana SAC Benelux B.V.,28034356
Danfoss B.V.,24227769
Danfoss Power Solutions II B.V.,78230403
Danieli Corus B.V.,34079535
Danieli Corus Technical Services B.V.,34088462
Danone Baby and Medical Nutrition Nederland B.V.,27089897
Danone Global Research & Innovation Center B.V.,09096817
Danone Nutricia Nederland B.V.,27090766
Danone Trading ELN B.V.,27194422
Danone Trading Medical B.V.,62263560
DanTrade B.V.,57667667
Daqso International B.V.,57681201
Darfon Europe B.V.,61951064
Dark Matter Laboratories B.V.,75174405
Darktrace Netherlands B.V.,63964228
Darling Ingredients International Holding B.V.,17064839
Darling Ingredients International IT Services B.V.,17088546
DART Aerospace B.V.,72246111
Darwin Recruitment B.V.,53725514
Dashmote B.V.,63300095
Dassault Systèmes B.V.,30147672
DAT.Mobility B.V.,27103813
Data eXcellence B.V.,32153046
Data2Logistics Europe B.V.,27268138
Databricks,51208121
Datacation B.V.,82577102
Data-Centric Engineering B.V.,85241148
Datadog Netherlands B.V.,77823664
Dataflex International B.V.,24146017
Dataiku B.V.,83000828
DataLane B.V.,72782234
DataLyzer International B.V.,12048189
Datamaran B.V.,80824390
DataPebbles B.V.,78354617
DataProphet International Operations B.V.,77590082
DataSnipper B.V.,69343861
Datavideo Technologies Europe B.V.,24194095
Datenna B.V.,68808070
DatHuis B.V.,68601271
Datlinq,17094483
DATUM SOLUTIONS NETHERLANDS B.V.,70919798
David Lewis Productions B.V.,60885653
David Lloyd Sports & Health Club,17111830
Dawn Aerospace Nederland B.V.,73356824
Dawn Foods B.V.,20097264
Dawn Foods International B.V.,32070903
Dawning Digital B.V.,85078115
Daxx Soft B.V.,34278628
Daymon Netherlands B.V.,73911119
Dayrize B.V.,77342275
DAZN Media Netherlands B.V.,78544297
DBR B.V.,23028207
