Organisation,KVK number
E D & F Man Holdings B.V.,24188202
E Green Europe B.V.,84761415
E Ink Netherlands B.V.,84837306
E Ink Technology B.V.,84837632
E Zilly B.V.,30153157
E.M. Rogers (Transport) B.V.,34118900
E.M.C. B.V.,61226394
E2M Technologies B.V.,34264483
E2open GmbH,76108996
e3 Nederland B.V.,67440207
EAGE Holding B.V.,30122370
Eagle Eye Networks B.V.,14082937
Eagle Holding Europe B.V.,14044687
Eagle Seven Europe B.V.,82365474
Eagle Simrax B.V.,14023536
Eagle Vision Systems B.V.,32062776
EarthToday.Com B.V.,72614439
Ease2pay B.V.,69106460
Easee B.V.,65846753
EASP Air B.V.,59966432
Eastar The Netherlands B.V.,61193852
Eastern Enterprise B.V.,27152051
Easthouse Electronics Technology B.V.,64595609
Eastman Chemical B.V.,27150948
Eastman Chemical EMEA B.V.,33139782
Eastport Maritime Europe B.V.,24380550
East-West International B.V.,37086898
East-West Trade,65711114
Easy Controls B.V.,51517477
easy2rent B.V.,52876160
EasyAds B.V.,30210912
Easygenerator B.V.,67709826
Easygreen Energy Solutions B.V.,76708543
Easyjet Airline Company Holland,33283357
EasyStaff Payroll Select Flex B.V.,18087512
EasyStaff Payroll Select ZZP B.V.,18087515
EASYVIT Pharmaceuticals B.V.,74897071
easyworx flex B.V.,76626784
Eat Well Europe B.V.,66417368
Eaton Industries (Netherlands) B.V.,08113175
EATRIS ERIC,59239247
eBay International Management B.V.,71993312
Ebicus B.V.,14065721
Ebitwise B.V.,81485999
EBN B.V.,14026250
eBuddy B.V.,34211186
Ebury Partners Belgium SA/NV,74280511
Ebusco B.V.,55202454
Ecare Innovatie B.V.,59598247
ECCO EMEA B.V.,16076783
ECCO Global Business Development B.V.,61388351
ECCO Leather B.V.,18059647
ECCO Tannery (Holland),18122635
ECCT,17078777
ECEM European Chemical Marketing B.V.,33163887
Echemi Europe B.V.,76108635
Echo Pharmaceuticals B.V.,32120554
ECI Software Solutions B.V.,08017472
EclecticIQ B.V.,61333999
eClerx B.V.,77976207
Eclipse BCS B.V.,63501090
Eclipse Holdings B.V.,88067416
ECMP B.V.,09155304
ECMS Express (NL) B.V.,63907577
Eco Consult,09094994
Eco IL Group B.V.,54607612
EcoChain Technologies B.V.,53518314
Ecogreen Fine Chemicals B.V.,27273865
Ecom Clear B.V.,86981420
Ecomatters B.V.,54739640
Ecommerce Operations B.V.,66717809
Eco-movement B.V.,27294677
ECONNETIC B.V.,57185514
Econvert Water & Energy B.V.,54029929
Ecorus Projects B.V.,61010804
ECORYS Nederland B.V.,24316726
ECR Nederland B.V.,17014719
ECsens B.V.,76564045
ECT Delta Terminal B.V.,24328090
EDAG Netherlands B.V.,14076302
EDC Retail B.V.,04086094
EdCast B.V.,69075018
Edelman Europe Holdings B.V.,34266874
Edenspiekermann B.V.,34384935
EDGE NEXT Management B.V.,76716988
Edge Technologies Contract B.V.,71183272
EdgeConneX Europe B.V.,63051370
edilon)(sedra B.V.,34033500
Edmond de Rothschild REIM (Benelux) B.V.,34311097
Education Trademark B.V.,34288828
Edufax B.V.,17074218
EDUNAKHO B.V.,77866282
Edwards Lifesciences B.V.,30163350
Eekels Technology B.V.,02309166
Eenvoud Media,59646500
Eerlijke WOZ B.V.,67784968
Eesysoft Software International B.V.,34375588
EET.NU B.V.,50563319
EF Corporate Education B.V.,34161319
Ef International Language Schools B.V.,33267461
Efeze B.V.,83405496
EFFECT Photonics B.V.,51514281
Effectory B.V.,72541644
Effectory Holding B.V.,33232007
eFlowers B.V.,71172262
EFMClinic B.V.,72187476
EFT Services Holding B.V.,34107367
EG Retail (Netherlands) B.V.,24031986
Egardia B.V.,51114003
Egencia Netherlands B.V.,83604243
Egeniq B.V.,53062086
Egeria Group Services B.V.,78512867
Eggerding & Co.,33123790
Egon Zehnder International B.V.,33232562
Egypt Solar B.V.,64352897
EH Hotel Management B.V.,34203365
EHPC Holdings B.V.,34194009
Eichholtz B.V.,28060994
Eigen Energie.net B.V.,55569447
Eijkelkamp Soil & Water B.V.,09043479
Eiken Chemical Europe Office,52845745
Eimskip Nederland B.V.,24139487
Eindhoven,17272738
Einride Technologies Netherlands B.V.,85545295
Eisenkolb B.V.,17047866
EIT Urban Mobility Innovation Hub West B.V.,77048199
EJR-Quartz B.V.,28081544
Ekata Global - Netherlands B.V.,74096397
ekaterra Export B.V.,81716648
ekaterra Global Operations B.V.,81871341
ekaterra Group Finance B.V.,81615353
ekaterra Group IP Holdings B.V.,81871228
EKK Sales Europe B.V.,14047184
EKO Instruments Europe B.V.,27315416
Ekofine Holding & Finance N.V.,34211941
Ekro B.V.,08033633
Ekster B.V.,65094573
El Niño B.V.,08140115
Elacin International B.V.,18130264
Elanco Nederland B.V.,71762345
elasticsearch B.V.,54656230
Elastique B.V.,59329319
Elation professional B.V.,50048775
Elbi Trading Company B.V.,24257919
ElBrons B.V.,60048417
Elcee B.V.,23041333
Elchais B.V.,08010878
Elco B.V.,14023100
Eldohm B.V.,08078358
eldoLAB Holding B.V.,17218153
Eldorado Gold C.V.,78607965
Eldorado Gold Coöperatief U.A.,53699351
eLEAF B.V.,09116766
Electech Holding B.V.,24288161
Electrip Global B.V.,78656230
Electromagnetic Compatibility MCC B.V.,52798771
Electron Performance B.V.,88464040
Electron Technologies B.V.,29034307
Electronic Arts Nederland B.V.,24276634
Electronic Commerce Solutions (ECS) International B.V.,36053333
Electronics for Imaging B.V.,30144359
Electude Development B.V.,14097018
Elekta B.V.,17097384
Element Materials Technology Rotterdam B.V.,24170257
Elementis Minerals B.V.,34281419
Elements Interactive B.V.,32137279
