Organisation,KVK number
F&V Photographic Industry B.V.,52744701
F.G. Progress B.V.,70135177
F.G. Stijl B.V.,33270221
F5 Networks Benelux B.V.,32117649
FAAM Architects B.V.,70573980
Fabory Nederland,18020925
Fabrique Communicatie en Design,27183335
Facade Hotel Amsterdam B.V.,66659558
Facebook Netherlands B.V.,51401282
Facial Harmony B.V.,67068731
Factor 75 B.V.,88275043
FactorIT B.V.,62026097
Factors Chain International,40537377
FactoryLab B.V.,66582385
Factris,68666446
FactSet Benelux B.V.,20132144
Faculty of Skills,53801016
Fagron B.V.,30064580
Fagron Holding EMEA B.V.,56737335
Fair Consulting Netherlands B.V.,88764354
Fairbanks B.V.,32102827
FairChainTech B.V.,76217396
Faire Wholesale B.V.,82541086
Fairfield Chemical Carriers B.V.,62013971
FairPhone B.V.,55901964
Fairtrade Original B.V.,72720476
Fairtree Capital Europe,71802312
Fairways Logistics B.V.,61478466
Famed B.V.,31043929
Fancom B.V.,12015669
Fangage B.V.,66554721
Fansen Exploitatie B.V.,63635097
Fantazm B.V.,65021010
FareHarbor B.V.,71480404
Farm Frites International B.V.,24180852
Farm21 B.V.,73028711
Farmless B.V.,87138514
Fashion Cloud,57056447
Fashion for Good B.V.,66960746
Fashion Group Solutions B.V.,69689547
Fast & Fluid Management B.V.,28071961
Fast Four B.V.,56037104
Fast Imaging B.V.,71867473
Fasten B.V.,37085814
Fastenal Europe B.V.,20112509
FasterIntel B.V.,62258605
FastFocus B.V.,59285575
FastMicro B.V.,76203247
Fastned B.V.,54606179
FastSpring B.V.,70091099
FBD International B.V.,34341882
FC C.V.,75623277
FCA Netherlands B.V.,33164133
FCC Construccion S.A.,76504972
FCPM III Services B.V.,56419899
Feddes/Olthof Landschapsarchitecten B.V.,30220057
Federación Nacional de Cafeteros de Colombia B.V.,27243258
Federatie COC Nederland,40530156
Federation Internationale Pharmaceutique/ International Pharmaceutical Federation (FIP),40410354
Federation of European Microbiological Societies,59230738
FedEx Express International B.V.,65939859
FedEx Express Netherlands B.V.,69176523
FedEx Supply Chain Services,20078945
FeedbackFruits B.V.,63664682
Feel Free Games B.V.,84011734
FEI Electron Optics B.V.,17078574
FEI Europe B.V.,17097158
Felixx Landscape Architects & Planners B.V.,75199106
Felyx Sharing B.V.,68094434
Fenergo Sentinels B.V.,82155305
Fenestrae B.V.,27155784
Fenix Consulting Delft B.V.,27240004
Fenix Outdoor Logistics B.V.,64755177
Fenzi AGT Netherlands B.V.,64454827
FEPshop B.V.,73370975
Ferm International B.V.,73372099
Ferrovial Airports International SE,73422525
Ferrovial SE,73422134
Fertilife Benelux B.V.,76536912
FESCO North West Europe B.V.,24419889
Fesla Charge B.V.,76210073
FEV Netherlands B.V.,69337659
Feyecon Development & Implementation B.V.,33242864
Feyenoord Rotterdam N.V.,24363218
FF Quant Advisory B.V.,70817979
FFM Online B.V.,61296805
Ffund B.V.,66948665
FG ROBOSYS B.V.,63511037
FGE International B.V.,61334790
FI Analytics B.V.,09221887
Fiat Republic Netherlands B.V.,84625791
Fiba Capital Investments B.V.,34239251
Fiber-Line International B.V.,01105731
Fiberplane B.V.,78748038
Fibrant B.V.,14028937
Fiction Valley B.V.,34250730
Fidelity National Information Services (Netherlands) B.V.,33282642
Field Factors B.V.,66731313
FieldCore Service Solutions International Netherlands,53132866
FIFPro Holding B.V.,24369707
Figma Netherlands B.V.,81458851
Figo B.V.,52934969
Filasflex Uitzendbureau B.V.,59701137
Fimble B.V.,88878244
Finalist IT Group B.V.,24243482
Finalyse Netherlands B.V.,30253968
Financial Access Capital Management B.V.,34357920
Financial Access Consulting Services B.V.,34260940
Financiële Diensten Amsterdam B.V.,33187036
FinanSentra B.V.,67289010
"Finch Capital Partners, B.V.",67035752
Finchtree B.V.,24174331
FincoEnergies B.V.,62265199
Fincog B.V.,74850520
Finday B.V.,62205498
Findest B.V.,68240023
FindHotel B.V.,66043077
FinDock B.V.,60932317
FinMechanics Netherlands B.V.,74815393
FINOM Payments B.V.,78680751
Finqle B.V.,62738097
Finst B.V.,85668117
FinStack Holding B.V.,83869794
Finthropology B.V.,90483766
Finwerd B.V.,81450834
Firat Bakkerij B.V.,08143683
FireID Middle Earth B.V.,75679019
Firemane B.V.,87900157
Firestone Industrial Products Europe B.V.,09178597
Firm24 B.V.,58579532
First Employment B.V.,58086846
First Light Digital B.V.,76137228
First Line Software B.V.,58362126
FIRST PRIVACY B.V.,76063267
FiSer Consulting B.V.,62741837
Fisher BioServices Netherlands B.V.,82365733
Fisher Emergo B.V.,33166189
Fishfacts B.V.,70740631
Fit For Free Beheer B.V.,27288391
Fit For Me B.V.,24375270
FIT Group B.V.,20119722
FIT People B.V.,57634262
Fitch Finance B.V.,62795228
Fited B.V.,68822618
Fit-Fight Dojo,66914132
Five Degrees Solutions B.V.,30265026
Five Rings Capital B.V.,90117905
FixedToday 52 B.V.,56898746
