Organisation,KVK number
G. Vermes B.V.,39060888
G.B. Electronics Limited,71677224
G.C. de Jong Construction B.V.,22031684
G.J. van Olst B.V.,20074975
G3 Worldwide Mail,27190356
G4S Holdings 103 (NL) B.V.,24319077
GA International Inc.,58125248
Gadeta B.V.,64786560
GAIN.PRO B.V.,71476717
Gaiyo B.V.,57152020
Galapagos B.V,28083700
Galaxy Specialties Europe B.V.,93499256
Galaxy Surfactants Limited,55146090
Galderma Benelux B.V.,34277838
Gamegos B.V.,73286974
GameHouse Europe B.V.,17146077
GameHouse Original Stories B.V.,76700445
Gamepoint B.V.,27169445
Gamgee Netherlands B.V.,71219390
Gamz B.V.,86092278
Gapstars B.V.,64817989
GarantiBank International N.V.,33225009
Gardner Denver Nederland B.V.,30088601
Garrett Leight Europe B.V.,63724332
Gartner Nederland B.V.,33237099
Garuda Indonesia,34357386
Gaserop B.V.,61383457
Gassan Diamonds B.V.,33082505
Gaston Schul Facilities B.V.,14107779
Gate Gourmet Amsterdam B.V.,34036439
GATT Technologies B.V.,52767329
Gauge 81 B.V.,74373846
Gavdi B.V.,67035159
Gavita International B.V.,65832760
Gaynor Minden B.V.,57237077
Gazprom EP International Investments B.V.,34331840
Gazprom EP International Services B.V.,34285177
Gazprom Holding Coöperatie U.A.,58200010
Gazprom International Projects B.V.,34285181
Gazprom Sakhalin Holdings B.V.,34271434
GBE Converge B.V.,28079665
GBM Works B.V.,67657621
GCC Europe B.V.,24345456
GCE-Group B.V.,76040348
GCO Global,23061347
"GCP Europe Management S.à r.l., Dutch branch",76778827
GD-iTS Forwarding B.V.,11054730
GDS Services B.V.,53776402
GE Aviation Netherlands B.V.,33266425
GE Capital Finance B.V.,20063496
GE Healthcare,17064140
GEA Food Solutions B.V.,34206247
GEA Food Solutions Bakel B.V.,17044170
GEA Food Solutions Weert B.V.,13008971
GEA Niro PT B.V.,16023225
GEA Refrigeration Netherlands N.V.,16020595
GÉANT Vereniging,40535155
Gearbox Innovations B.V.,66873932
Gearbox Publishing Amsterdam B.V.,75256827
Gears of Leo Netherlands B.V.,09153589
Gebhard B.V.,71543813
Gebiedsmanagers B.V.,56905815
Gebr. van 't Hek B.V.,37109050
Gebr. Van Vliet B.V.,27235542
Gebroeders Bakker Zaadteelt en Zaadhandel B.V.,37008098
Gecko Robotics B.V.,84661496
Geckotech B.V.,53256662
Gecon Parcel B.V.,74494201
Gedi Cube B.V.,91275237
GeekSoft Consulting B.V.,58655581
Geerts Metaalwaren B.V.,69450064
GEFCO Forwarding Services B.V.,24395150
GEG Europe B.V.,55185282
Gek van Software B.V.,73239585
Gelber Coöperatief U.A.,71324925
GELITA Nederland B.V.,34119841
Gemalto Holding B.V.,27255026
Gembird Europe B.V.,32131668
Gemco Cast Metal Technology B.V.,17141349
Gemeenlandshuis Delft,50677969
Gemeenschappelijke regeling DCMR Milieudienst Rijnmond,50000438
GEN B.V.,24317941
Gen25 B.V.,32086120
Genencor International B.V.,27238074
GeneoDx Holding B.V.,76311961
Genera B.V.,83138498
General Aircraft Technical Engineering Europe B.V.,17089756
General Logistics Systems B.V.,34125684
Generation Energy B.V.,65916158
Genesys Cloud Services B.V.,24293219
Genetwister Technologies B.V.,11043533
Genexis B.V.,12049085
Geniox Services B.V.,65600339
Genius Voice B.V.,86541781
GenKey Solutions B.V.,17233846
Genmab B.V.,30169902
Genome Diagnostics B.V.,30202468
GenomeScan B.V.,61315532
Genpact NL B.V.,35010541
Genpact Onsite Services,24454081
Genscape,34186788
Genscript Biotech (Netherlands) B.V.,70249180
Genzai B.V.,69934592
Geo Marine Survey Systems B.V.,24465394
GEO2 Engineering B.V.,52849058
GeoCat B.V.,08162601
GEODIS FF Netherlands B.V.,24193709
GeoJunxion B.V.,24284810
Geolog North Sea B.V.,60896221
Geonius Geotechniek B.V.,14048726
GeoPhy B.V.,59182679
GeoQuest Systems B.V.,27176644
GeoSoftware C.V.,83859675
GEP Netherlands B.V.,73997633
Gepardo B.V.,86936107
GeriMedica,34270859
Geris B.V.,14101428
Gerlach & Co. Internationale Expediteurs B.V.,12030332
Gerwil Crewing B.V.,32143103
Getaround B.V.,72687398
Get-E International B.V.,63711443
Getir B.V.,75897903
Getir Netherlands B.V.,82163057
GetMoss NL B.V.,83969551
Getronics Global Services B.V.,53904877
Geurst & Schulze Architekten B.V.,27159074
Geva Sol B.V.,28103930
Gezondheidscentrum Plato,37123115
Gezondheidscentrum Vijfhoek B.V.,77730089
GfK Netherlands B.V.,64327744
GGN Mastering Credits B.V.,17240971
GGzE,17141715
GGZ-Reflection Haaglanden B.V.,58919031
Gi Group Perm B.V.,75868415
Giada Technology B.V.,75489678
Giant Europe B.V.,39042936
Giant Europe Manufacturing B.V.,39062535
Giant Leap Technologies B.V.,34219450
Gibeon Net Solutions B.V.,27177995
Gibson Europe B.V.,34180426
GIDARA Energy Technology Solutions B.V.,27372897
Giebels Meat Products B.V.,17148802
Giesecke+Devrient Currency Technology Netherlands B.V.,30160202
Gieterij Doesburg B.V.,09089764
GIGA Storage B.V.,71586334
Giga-Byte Technology B.V.,17136359
Gigaphoton Europe B.V.,52816737
GigaTech Products B.V.,65634403
GIIR BN,60473819
Giken Europe B.V.,39050843
Gilde Healthcare Partners B.V.,30215833
Gilead Sciences Netherlands B.V.,34249498
Gili Amsterdam B.V.,57407436
Gili Utrecht B.V.,57560870
Gimly B.V.,82933464
Ginkgo Bioworks Netherlands B.V.,63747871
GitHub B.V.,61237523
GitLab B.V.,60034831
Givaudan Nederland B.V.,32043950
GK Design Europe B.V.,33190417
GKN Fokker Aerospace B.V.,23088399
Glassworks Amsterdam Ltd,61618411
GlaxoSmithKline B.V.,27141630
Glencore International Import B.V.,24436992
Glenmark Pharmaceuticals B.V.,50131893
Glent B.V.,71185801
GLI Europe B.V.,28117769
Glimp B.V.,84246588
GLNP Life Sciences B.V.,34313486
Global Aesthetics Holdings B.V.,90397932
Global Consulting and Support Services B.V.,30220595
Global Cooling B.V.,08061989
Global Data Collection Company B.V.,24282858
Global Energy Services B.V.,28075847
Global Experience Specialists (GES) Limited,58489746
Global Factories Total Engineering and Manufacturing B.V.,27301594
Global Fruit Point Services B.V.,24385603
Global International B.V.,34092319
Global IT & Services B.V.,17239055
Global Location Strategies B.V.,92065031
Global Middleware Consultancy B.V.,39073725
Global Off-Grid Lighting Association,62066064
Global Offshore Services B.V.,51338270
Global PEO Services Netherlands B.V.,73084018
Global Risk Group EMEA Pinkerton,27254894
Global Sports Media B.V.,24308684
Global Switch Amsterdam Property B.V.,27184529
Global Telecom Holding S.A.E.,62866184
Global Textware B.V.,02048134
Global TIP Finance B.V.,58178260
Global TIP Holdings Two B.V.,58146369
Global Tunnelling Experts B.V.,24419447
Global Unichip Corp. Europe B.V.,34301971
Global University Systems B.V.,55367453
Global VAT Compliance,27377928
Global-C Nederland B.V.,37123711
GlobalOrange B.V.,34271366
Globe Tech B.V.,20089611
Glory Global Solutions (Netherlands) B.V.,34307397
Glosec NL B.V.,62649183
Glow Chiropractic,67524656
Glycostem Therapeutics B.V.,30226371
GMG Europe B.V.,85492884
GMP+ International B.V.,27364542
GMS Management Solutions Netherlands B.V.,73844780
GN Hearing Benelux B.V.,09033081
G-Nius,17143400
Go Daddy Netherlands B.V.,34330982
Go Gracht Service C.V.,34202679
GO Sharing B.V.,76717321
GoBoony B.V.,62857452
GoCancel B.V.,83708847
Gocase Int Coöperatief U.A.,65322525
GoCloudNow,76977897
Godavari Biorefineries B.V.,34325188
Godrej Consumer Holdings (Netherlands) B.V.,34388379
Goedegebuur Vlees Rotterdam B.V.,24163213
GoGlobal Netherlands B.V.,81248954
Golden Agri-Resources Europe B.V.,59575964
Golden Circle Group B.V.,64387518
Golden Egg Check B.V.,63542560
Golden Laser Europe B.V.,86551701
"Goldman Sachs Bank Europe SE, Amsterdam Branch",72785500
