Organisation,KVK number
H & H Select B.V.,24437257
H & M Hennes & Mauritz Netherlands B.V.,33208311
H&M Hennes & Mauritz Services B.V.,73243299
H. J. Baker Sulphur International Coöperatief U.A.,74967983
H.I. Systems,24260340
H.I.P. Trade B.V.,55245781
H.I.S. Travel Nederland B.V.,34299265
H.J. Heinz European Holding B.V.,30227407
H.J. Heinz Nederland B.V.,33247394
H.J. Heinz Supply Chain Europe B.V.,51929449
H.P. Valves Oldenzaal B.V.,06056750
H.W.I. Techniek B.V.,27338224
H+N+S B.V.,30094987
H2Compute Software B.V.,62321102
H2L Robotics B.V.,75761149
Haagsche Rugby Club (HRC),27083963
Haagstad Multi Service B.V.,27181560
Haas-Mondomix B.V.,32090739
Haba Trading B.V.,52866289
Habets Industrial Components & Surface Technology B.V.,14037850
Hack Rentmeesters B.V.,72010355
HackerOne B.V.,58601325
Hacousto Holland B.V.,27194770
Hadrian Security B.V.,83587691
Haerlem Capital B.V.,68202873
Haffmans B.V.,12030119
Hai Robotics Europe B.V.,83898921
Haicheng Mobile Company (Netherlands) B.V.,77657519
Haiku Tech Europe B.V.,14067752
Hail & Cotton International B.V.,30138211
Hairtec Kliniek B.V.,86158406
Haitima Valve B.V.,14086803
Haiwode Trading B.V.,64439704
Hajari Multitasking B.V.,05058450
HAL Allergy B.V.,34049105
HAL Allergy Holding B.V.,34064719
Halal Correct Auditing Services B.V. (HCAS).,73381470
Halal Voeding en Voedsel Keuringsdienst (Halal Feed and Food Inspection Authority) B.V.,57007403
Halavet B.V.,77710444
Haleon Netherlands B.V.,33147823
HALIX B.V.,56645228
Hall B.V.,21010722
Halliburton B.V.,04049592
Halls Holding B.V.,24385168
"Hamamatsu Photonics Deutschland GmbH, Netherlands Office",86361627
Hamatra Holland B.V.,82387729
Hamburg Sud Nederland,24262349
Hamilton Benelux B.V.,84085096
Hamilton Sundstrand Customer Support Center Maastricht B.V.,14033238
Hamiplant B.V.,27239696
Hammer B.V.,64645134
Hanaro,17142585
HAND Enterprise Solutions Europe B.V.,74493035
Handelmaatschappij A. Smit en Zoon B.V.,32037558
Handelsbanken,34175709
Handelsonderneming Esseph,33238944
Handelsonderneming Neeskens B.V.,34064864
Handelsonderneming Steboma B.V.,34062048
Handelsonderneming Van der Blij B.V.,16083035
Handerlin B.V.,24293962
Handmade B.V.,57043388
Hands-on B.V.,55711766
Hanegraaf Advies B.V.,50457950
Hanergy Thin Film Power EME B.V.,57430195
Hangcha Netherlands B.V.,81174675
Hankook Tire Netherlands B.V.,24265887
Hankyu Hanshin Express (Netherlands) B.V.,34071957
Hanlun B.V.,63510170
Hannover Milieu- en Veiligheidstechniek B.V.,09070074
HannSpree Europe Holdings B.V.,24401481
Hanny Horecaexploitatie B.V.,33188037
Hanshow Netherlands B.V.,75315122
Hansol Europe B.V.,61590762
Hanting Cuisine B.V.,59100796
Hanwa Europe B.V.,34303753
Hanzehogeschool Groningen,41012703
Hape Electric B.V.,39032486
Happeo B.V.,87199181
Happiest Minds Technologies Pvt. Ltd.,58867910
Happitech B.V.,62365835
Hardt B.V.,66815266
Hari's Treasure B.V.,34318216
Harlem Next B.V.,70543070
Harley-Davidson Retail B.V.,74709224
Harman Consumer Nederland B.V.,23081051
Harmony IT,73590665
Harmony Relocation B.V.,64969428
Harmony Service Center B.V.,24326348
Harriman Steel B.V.,61831484
Hart B.V.,08015179
Harver Ops B.V.,75027879
Harvey Nash B.V.,33296258
HAS Hogeschool,41084408
Hasbro Emerging Markets B.V.,34286328
HashiCorp Netherlands B.V.,71863931
HaskoningDHV Nederland B.V.,56515154
Hästens Beds International B.V.,60069104
Hatch B.V.,52650758
Hatching International B.V.,64146707
Hatenboer Neptunus Holding B.V.,24278990
Hatmill B.V.,91380421
Hato B.V.,12015373
Hatten Shoji Europe B.V.,75388391
Havas Lemz B.V.,34106135
HAVECON Kassenbouw B.V.,50145134
Havenbedrijf Rotterdam N.V.,24354561
Haver Service Benelux B.V.,63504278
Haverman Koteris & Partners,53237927
Hawar Information Technology B.V.,01080176
Hawksford Management Services B.V.,55148271
Hayee B.V.,58810811
HaynesPro B.V.,31047540
Hays Services B.V.,64139298
Hazera Seeds B.V.,24144712
HB RTS Holding B.V.,50077406
HBG Betonstaal B.V.,78050138
HBM Machines B.V.,24352948
HBN Au Pair Services B.V.,74460269
HCL Technologies B.V.,58805206
HD Advisory & Services B.V.,61757969
HD Hyundai Marine Solution Europe B.V.,64006492
"HD Hyundai Marine Solution Tech Co., Ltd.",86731777
HDM Pipelines B.V.,52533026
HE Space Operations B.V.,28059038
HE Tubing Netherlands B.V.,58110046
Head Ned B.V.,64152189
HEAD Uitzendbureau B.V.,24428815
Headlands Technologies Europe B.V.,72524804
Health Kliniek,66822467
Health Net TPO,41211943
HealthCity West B.V.,64924181
hear.com N.V.,81157959
Heart for Health ICT B.V.,34290107
Hearthside Staff,23081617
Heatmaster,24249007
HeatMatrix Group B.V.,17235788
HeatTeQ Refractories Services B.V.,34328553
HeatTransformers B.V.,72999489
Heembouw Architecten B.V.,28070011
Heerema Engineering Solutions B.V.,74177826
Heerema Marine Contractors Nederland SE,58180362
Heesen Yachts Builders B.V.,16043928
Heidelberg Benelux B.V.,33108838
Heidenhain Numeric B.V.,17077562
Heidrick & Struggles B.V.,33277877
Heijmans Infra B.V.,17104126
Heijmans Utiliteit B.V.,17143602
Heijmans Woningbouw B.V.,28093405
Heineken Group B.V.,34258660
Heineken International B.V.,33103545
Heineken Nederland B.V.,33127977
Heineken Nederlands Beheer B.V.,33103437
Heineken Netherlands Supply B.V.,74457659
Heinen & Hopman Engineering B.V.,31020981
Helia BioMonitoring B.V.,73489379
Heliox Automotive B.V.,60956224
Heliox B.V.,17244144
Heliox Power Driven B.V.,59152826
Hellmann Worldwide Logistics B.V.,24085584
Hello Energy B.V.,64546292
Hello Straw B.V.,63127377
HelloCode B.V.,64906019
HelloFresh Benelux B.V.,54601312
Helloprint B.V.,64710815
Helly-Hansen Distributie B.V.,14048191
Helmond,17272669
Heloise Hooton B.V.,60610549
HEMA B.V.,34215639
Hemp Flax Agro B.V.,02332418
Hempel (The Netherlands) B.V.,24221658
Hencon B.V.,09083033
Hendent B.V.,58547568
Hendriks Holland B.V.,69117772
Hendrikx ITC B.V.,18080938
Hendrix Genetics B.V.,13029510
"Hendrix Genetics Research, Technology & Services B.V.",51618923
Henkel Global Supply Chain B.V.,60683945
Henkel Nederland B.V.,30074969
Henkel Strategic Business Solutions B.V.,69758719
Henkelman B.V.,16073215
Henry Schein Dental B.V.,39053828
HERE Europe B.V.,17168515
HERE Global B.V.,17070436
HERE International B.V.,63832690
Herman Kuijper B.V.,33205941
Hermes Benelux Nordics,34243328
Héroult Marine Modules B.V.,23086358
Heroyam B.V.,85832650
HES International B.V.,71112200
Het Ceintuur Theater B.V.,60447176
Het Droompaleis B.V.,65968379
Heuschen & Schrouff Foods Group B.V.,14043299
Heusschen*Copier Stad + Landschap,14089954
Heussen,34222303
Hewlett-Packard Nederland B.V.,33158429
HewSaw International B.V.,75944081
Hexing Europe B.V.,87096730
Hexion VAD B.V.,65974875
Hey Honey B.V.,70656657
HHOYA B.V.,18132271
Hiab Benelux B.V.,65633881
Hibino Europe B.V.,76463818
High Eye B.V.,11048626
High Quality Interim Personeel B.V.,34288783
High Quality Music Publishing Company B.V.,32088174
High Tech Source B.V.,83066055
High Voltage Engineering Europa B.V.,31014544
HighRadius B.V.,75050943
Hightech ICT B.V.,71191690
HIHCL Amsterdam B.V.,34384203
HIHCL HP Amsterdam Airport B.V.,51762676
Hikvision Europe B.V.,34359062
HIL International Lawyers & Advisers B.V.,34150071
Hilfort B.V.,57396531
Hill International N.V.,50919679
Hill+Knowlton Strategies B.V.,33172526
Hillebrand Gori IT B.V.,34146973
Hillel Hospitality GP B.V.,66434335
Hill's Pet Nutrition B.V.,20076749
Hill's Pet Nutrition Manufacturing B.V.,20081317
Hilti Nederland B.V.,27216423
Hilton Foods Holland,34124836
Hilton International Nederland B.V.,33107232
Hines Netherlands B.V.,69611513
Hinicio N.V.,85739715
HIP B.V.,63616971
Hiranyavarnaam Alkalis B.V.,74811045
HIRO-MicroDataCenters B.V.,69049165
Hirose Electric Europe B.V.,34196753
Hitachi Astemo Netherlands B.V.,53118561
Hitachi Construction Machinery (Europe) N.V.,20030174
Hitachi Consulting Belgium BVBA,33295838
Hitachi Energy The Netherlands B.V.,74422634
Hitachi Rail GTS Support B.V.,69635676
Hitachi Vantara Nederland B.V.,11027590
Hitachi-LG Data Storage Amsterdam Office,34239131
Hitec Holding B.V.,55481892
Hitec Power Protection B.V.,06078910
Hi-Tech Electronic Components B.V.,30065034
Hi-tech Spring Europe B.V.,85048860
HITMA Groep B.V.,33028761
Hitron Technologies Europe Holding B.V.,53063597
HK Local Heroes B.V.,62144243
HKB Ketelbouw B.V.,76257525
hkp/// IT B.V.,24401586
hkp/// RemuNet B.V.,34255970
HKS Scrap Metals B.V.,23070691
HLB Blömer accountants en adviseurs B.V.,30128316
HMC Hydrographic and Marine Consultants,69275327
HMC Westeinde,61262935
HMD Mobile International Oy,68761457
HMH Holding B.V.,82719322
HMM (Netherlands) shipping B.V.,24266952
HMS Industrial Networks B.V.,11060009
HMSHost International B.V.,34092548
HNM Solutions B.V.,78060079
HOACO AUTOMATION TECHNOLOGY B.V.,77913671
Hobart Nederland B.V.,30119388
Hobré Instruments B.V.,36008213
HOCHTIEF Infrastructure GmbH Nederland,63492296
Hodes Weill NL B.V.,85769002
Hoerbiger Benelux B.V.,14025151
Hofman Dujardin Architecten B.V.,59749199
Hofstetter B.V.,53447344
Hogan Lovells International LLP,34360441
Hogeschool der Kunsten Den Haag,41156013
Hogeschool Inholland,37099586
Hogeschool van Amsterdam,34215054
Hogeschool Van Hall Larenstein,01087061
Hogeschool voor de Kunsten Utrecht,41178974
Hogeschool Windesheim,53815033
Hogeschool Zuyd,14060995
Hogewoning B.V.,28054095
Hoist Finance AB,68342616
Hokuetsu Industries Europe B.V.,33227221
"Hokuyo Automatic Co., Ltd. Amsterdam Branch",67335160
Holland Bulb Market B.V.,37000830
Holland Colours Europe B.V.,08034922
Holland Diamond Fish B.V.,65158563
Holland FinTech Partners B.V.,61809640
Holland Heater De Lier B.V.,27225490
Holland Malt B.V.,30122973
Holland Novochem B.V.,30105164
Holland Particle Therapy Centre B.V.,58653473
Holland Partners Holding B.V.,67872808
Holland Payroll B.V.,51120062
Holland Rhine Group,52629457
Holland-Controls B.V.,08140007
Hollandia Infra B.V.,59402156
Hollands Licht B.V.,33293113
Hollandsche Greenkeeping Maatschappij B.V.,52078027
Hollister B.V.,27109733
Holmes NZ Limited Partnership,65413377
Holtara B.V.,73773638
Holthaus Advies B.V.,86948504
HolyTex B.V.,70553645
Home Plate B.V.,62326449
Homediq Europe B.V.,77050444
Homerun B.V.,66911524
Homewizard B.V.,53733983
Hommema Bliksembeveiliging B.V.,30071311
Honeypot,71506748
Honeywell B.V.,33044803
"Hong Kong Aircraft Engineering Company Limited, Netherlands Branch",75783797
Honor Technologies (Netherlands) B.V.,80907520
Hoofdman-Roodzant B.V.,24237716
Hoogheemraadschap Hollands Noorderkwartier,37161516
Hoogheemraadschap van Rijnland,51137747
Hoogwegt International B.V.,09033303
Hopmans FlexStay B.V.,61873268
Hopper Engineering and Consultancy B.V.,75453088
Hopper Netherlands B.V.,84054778
Hoppinger,24300171
HORAIZON technology B.V.,62892789
Horecagroep Breda Holding B.V.,64158942
Horlings Accountants & Belastingadviseurs B.V.,37080345
Horrex Horren,24199054
HORSES2FLY B.V.,60596392
Hortimare B.V.,52431355
Hortitec Beheer B.V.,71691723
Horus Real Estate Fund I B.V.,34218242
Horwin Netherlands B.V.,90979192
Hoshino Europe B.V.,33017446
Hoshizaki Europe B.V.,33238845
Hoshizaki Europe Holdings B.V.,34197614
Hositrad Holland B.V.,32084750
HoSt Biogas B.V.,08088993
HostCircle B.V.,71902023
HOSTKEY B.V.,52751554
Hostnet B.V.,34130993
Hotel Booker B.V.,34180570
