Organisation,KVK number
I & C Services B.V.,24359029
I AM POP B.V.,65566181
I Hate Statistics B.V.,66873843
I.A.A. Architecten B.V.,08089312
I.D.B. Holland B.V.,18043034
i+ Solutions,34236288
i2d consulting B.V.,72632402
i2i B.V.,34373720
i3D.net B.V.,14074337
i4talent professional B.V.,72093919
i8c B.V.,74255592
IA Shared Services B.V.,84999004
IACT B.V.,08084559
IAI industrial systems B.V.,17070534
IamExpat Media B.V.,83307826
IamFluidics B.V.,68481721
iAutomation B.V.,51390590
IB Consultancy B.V.,82161658
IB Vreeswijk B.V.,08198460
iBanx HSE B.V.,34347514
IBC Europe B.V.,34221832
IBC Group B.V.,14096105
IBC Personeelsdiensten B.V.,55274382
Ibeo Automotive Eindhoven B.V.,69227292
IBIDEN Europe B.V.,33234926
Ibis Technologies B.V.,30119428
IBK B.V.,30225455
IBM International B.V.,65704355
IBM International Group B.V.,34125313
IBM Nederland B.V.,33054214
IBM Services Center Benelux B.V.,57950296
IBS Consultants B.V.,20131601
IBS Fund Management B.V.,57806497
IBS Precision Engineering B.V.,17078774
IBS Software Europe Limited,61205850
ICAP Energy AS,34169781
ICBC Amsterdam Branch,50939874
ICE Clear Netherlands B.V.,51976196
Ice Cold Storage Holding B.V.,55524362
ICE Endex Markets B.V.,09100980
Icecat N.V.,30259744
Icecat Syndy B.V.,50794779
ICEE International B.V.,69306958
IceMobile Agency B.V.,34359257
Icepay B.V.,27348492
iChoosr B.V.,30266372
iCiber B.V.,67733816
ICL Europe Coöperatief U.A.,51376490
iClusion B.V.,63939207
Iconica Development B.V.,85042641
Icron Technologies Europe B.V.,34233223
ICT Healthcare Technology Solutions B.V.,30075197
ICT Netherlands,24254385
ICTCybernetics,78013542
Icts International N.V.,33279300
ID Logistics Tilburg B.V.,62319574
IDA Mediafoundry B.V.,73370894
Ideaworks Netherlands B.V.,74399217
Idea-X B.V.,64314553
IDEMIA Services B.V.,14053988
IDEMIA The Netherlands B.V.,34088563
IDEXX Animana B.V.,61749354
IDEXX B.V.,58490701
IDFocus B.V.,55456413
IDH Investment Management B.V.,74983393
"IDIS Co., Ltd.",74650475
IDS Europe B.V.,24399711
IDTrust B.V.,73764272
IDTV Film & Video Productions B.V.,33173279
IEO Transformatoren B.V.,20010279
"Ifla, International Federation of Library Associations and Institutions",40407191
IFM Investors (Netherlands) B.V.,74153021
IFS Benelux B.V.,17102305
IFS Ultimo B.V.,08062228
IG & H Consulting & Interim,30167195
IGL B.V.,13020947
"IGM Coop, B.V.",55768105
IGNE Holding B.V.,72283939
IGT Europe Gaming B.V.,34077637
IHATA Holding B.V.,34338623
IHC Merwede Employment B.V.,23000475
IHI Hauzer Techno Coating B.V.,12021235
Iiyama Benelux B.V.,34076559
IJs-Garant,67516637
IJsselstate Tandartsen,56974221
IJsvogel Retail B.V.,09083699
Ikasido Global Group B.V.,58239030
IKEA B.V.,33166333
IKEA Nederland B.V.,33178198
IKEUCHI EUROPE B.V.,34307608
Iki Marine B.V.,67075487
IKNL,30284694
Ikosaeder B.V.,73346756
IKRA Bakkerij B.V.,64582868
ILIAS A&D B.V.,34162643
IlionX Group B.V.,24335617
illumina Netherlands B.V.,17188953
Ilumno Licensing Coöperatief U.A.,70113963
Ilumy Innovation B.V.,54601738
ILX Management,60634464
im | innovating B.V.,18021428
IM Efficiency Technologies B.V.,62117556
Imagr B.V.,82622582
Imbull B.V.,34339618
IMBV B.V.,24123116
IMC B.V.,33212299
IMC Pacific Pty Ltd,69246416
IMC Trading B.V.,33223419
IMCD Benelux,24262278
IMCD Group B.V.,32080392
IMCD N.V.,51470497
IMD B.V.,08109078
IMd Raadgevende Ingenieurs,24187403
IMDS R&D B.V.,01131948
Imfiy B.V.,67058094
IMG Engineering,56652453
IMG Projects B.V.,74343874
IMIJ Holding B.V.,61980730
iMin Technology B.V.,82891559
Imkey B.V.,60887737
IMOSS Bureau voor Stedebouw B.V.,32092471
Imou Network Technology Netherlands B.V.,81258054
IMPA B.V.,17155071
ImpactBuying B.V.,09085337
Impala Studios B.V.,34381964
Impala Terminals Rotterdam B.V.,75869217
Impatients N.V.,55272169
Impetus N.V.,22039849
Impraise B.V.,62405454
Imprima (Nederland) B.V.,35024273
Improvement Centre B.V.,27277600
Improvement-IT B.V.,32127136
Impulssum B.V.,69495653
Imres B.V.,08023514
IMS Space Consultancy GmbH,68619774
In Ovo Holding B.V.,59206365
In Summa Innovation B.V.,18074640
In Synergy B.V.,83971246
In2Care Trading B.V.,59036613
inaho Europe B.V.,81071515
Inalfa Development & Support Services B.V.,14101967
InAxtion B.V.,24295300
InBev Nederland N.V.,20080399
inBiome B.V.,73930849
Inbo B.V.,31026236
Inbody Europe B.V.,67478921
INCA International B.V.,50580108
Incentro Nederland B.V.,27262898
Incision Group B.V.,62060821
Inco-Drilling B.V.,68673280
Incontrol Management Consultants B.V.,30110526
Incotec Europe B.V.,36018756
Incyte Biosciences Benelux B.V.,58328920
Inde Wild B.V.,81169760
Indeed Netherlands B.V.,58179348
Independent Energy B.V.,53113160
Independent IP B.V.,34243122
Independent Recruiters Flex B.V.,81872070
Independer,34117387
Index Hospitality Systems B.V.,16059423
INDG Digitale Communicatie B.V.,02065160
India Palace Restaurant B.V.,74145614
Indian Food Factory B.V.,77384628
"Indian Restaurant ""Koh-I-Noor""",33166283
Indie B.V.,33285532
Indofil Industries (Netherlands) B.V.,60309598
Indorama Holdings B.V.,55703917
Indorama Netherlands B.V.,51904853
Indorama Ventures Europe B.V.,58697802
Indufil B.V.,09082960
INDUSTRIO B.V.,75753820
InEight NL B.V.,82013470
Infa Techniek B.V.,18125767
Infento B.V.,50337904
Infi Utrecht B.V.,59331283
Infiled Europe B.V.,58773851
Infineon Technologies Holding B.V.,27178800
Infineon Technologies Nijmegen B.V.,84491167
Infinitas Learing Holding B.V.,34273733
Infinitas Technology B.V.,76181103
Infinite Acres Holding B.V.,64757404
Infinite Process Solutions B.V.,59647094
Infinite Simulation Systems B.V.,31050053
Infinity Global Europe B.V.,56693818
Infinity Recycling B.V.,73308846
Infinium Consulting B.V.,37149913
Info Support B.V.,30135370
Info.nl Holding B.V.,33263663
Infoblox Netherlands B.V.,57864578
InfoBridge Software B.V.,17272242
INFOdation B.V.,34355772
Infomedics B.V.,04048143
Infoplaza Network B.V.,09123864
Infoplus Technologies (Netherlands) B.V.,58512152
Infor (Barneveld) B.V.,01077394
Infor (Netherlands) B.V.,71181822
InforIT B.V.,17158488
Informa Markets B.V.,30076951
Informatica Software Nederland B.V.,64688127
"INFORMATION DEVELOPMENT CO., LTD.",75085054
Information Development Europe B.V.,93073259
Infostrada Statistics B.V.,30130355
Infosys BPM Limited,55214290
Infosys Limited,34158909
Infotopics AfT B.V.,83106723
Infra Composites B.V.,51788845
Infront Financial Technology B.V.,33289369
Infy Consulting B.V.,27296191
ING Bank N.V.,33031431
ING Bank Personeel B.V.,27193847
ING Groep N.V.,33231073
Ingenieursbureau BT Geoconsult B.V.,23087854
Ingenieursbureau Geodelta B.V.,27232426
Ingenieursbureau Kok & van den Heuvel B.V.,76325784
Ingenieursbureau List B.V.,68782209
Ingenieursbureau-XYZ B.V.,09165634
Ingenieurs-op-Zuid B.V.,68597711
Ingka Centres Holding B.V.,62030914
Ingka Digital Netherlands B.V.,77380363
Ingka Investments B.V.,59663006
Ingka Services B.V.,33173751
Ingram Micro,30085572
Ingram Micro CFS Technology B.V.,57725497
Ingram Micro Europe B.V.,61223387
Ingram Micro Global Services B.V.,60904542
Ingress-health Nederland B.V.,62682628
Inguran Europe Coöperatief U.A.,08216203
Ingy B.V.,71565108
Inhale/Exhale Group B.V.,60671939
Initiative Media B.V.,33194983
Initio Cell B.V.,87140225
Initium IT B.V.,74001884
Ink Retouch EU B.V.,87603128
Ink Strategy B.V.,68479514
INKEF Capital B.V.,50127837
Inkloud Europe B.V.,61131121
Inkoopcombinatie Nederland B.V.,57215812
Inkubis B.V.,20134640
inlumi B.V.,30163413
Inmark Europe B.V.,61540501
Inmarsat Solutions B.V.,27187964
Innate Motion Nederland B.V.,30256340
Innatera Nanosystems B.V.,72612169
INND Batteries B.V.,57093369
INNET B.V.,27321013
INNIO Jenbacher International B.V.,90210352
INNIO Jenbacher Netherlands B.V.,90209982
INNOBIO Europe B.V.,83564926
InnoBTech Solutions B.V.,52953815
Innocent B.V.,61950335
Innocom (I.T.) B.V.,27220755
InnoCore Pharmaceuticals,02082924
Innodisk Europe B.V.,62263846
InnoFaith Beauty Sciences B.V.,17093863
InnoFlex Technologies B.V.,81277911
Innomet Specials B.V.,37105279
Inno-Metaal B.V.,17085560
Innoptus Netherlands B.V.,30194812
Innoseis Holding B.V.,78464927
InnoSyn B.V.,68553943
InnoTractor B.V.,78475139
Innova Market Insights B.V.,09128938
Innovatec Utrecht Holland,23087444
INNOVATEST Europe,73173525
Innovation Gateway Nederland B.V.,51731274
Innovation Industries Operations B.V.,73643688
Innovation Research Labs,39088592
Innovative Mechatronic Systems B.V.,66174848
Innovative Solutions in Media (ISM),24275452
Innovattic B.V.,59869658
INNSO Specialists B.V.,64168387
InnSpire Agility B.V.,67528996
Inogen Europe B.V.,51806894
Inolent Consulting and Software B.V.,89534174
inONE B.V.,68663684
InovaMedia B.V.,12050865
Inpaqt Technology Solutions B.V.,27356793
Inpark B.V.,30090683
Inparts Metaalbewerking,10038216
InSided B.V.,50310054
Insider Benelux B.V.,76293459
insideRESOURCING B.V.,81369646
Insify Holding B.V.,77835867
Insightometrics B.V.,72925949
insightsoftware Netherlands B.V.,30230944
"InsingerGilissen, a Quintet Private Bank (Europe) S.A. branch",80510132
InSites Consulting B.V.,24488573
Insmed Netherlands B.V.,63209020
INSPX,70517266
Installatiebedrijf Gebr. Janssen B.V.,16070037
Instamat Warmtetechniek B.V.,08059442
Instant Development B.V.,62663844
Instant NanoBiosensors B.V.,89644921
InsTech Netherlands B.V.,69008434
Institute for DiagNostic Accuracy Consulting B.V.,73331260
Institute for Housing and Urban Development Studies B.V.,41125933
Instruqt B.V.,71834346
Insulet Netherlands B.V.,70798273
INT B.V.,69059772
Int Solutions B.V.,64989941
Intal B.V.,37123126
INTECSEA B.V.,27177463
Integra Klimaatplafonds B.V.,34338211
Integrated Mechanization Solutions B.V.,06091119
Integris Composites B.V.,67216927
Intel 471 Europe B.V.,68633602
Intel Benelux B.V.,24134020
Intel Finance B.V.,57978972
Intel International B.V.,34098535
Intellian B.V.,51836653
Intelligent Lectern Systems B.V.,04084065
Intelligent Vision Engineers B.V.,87803348
Intelligenz IT B.V.,77025806
Intenda Europe B.V.,78163331
Intentic IT B.V.,67429939
Inter Chiro B.V.,66855799
Inter IKEA Systems B.V.,27232886
InterBurgo Europe B.V.,24258653
Intercept B.V.,58096973
Interchange Detacheren B.V.,74556681
Interdos Pharma B.V.,24273897
Interface European Manufacturing B.V.,50970364
Interflon B.V.,20084409
Interfood B.V.,17052481
Interfood Global B.V.,17079506
Interforce Networks B.V.,28084412
Intergas Verwarming B.V.,04068371
Intergraph Benelux B.V.,34052453
Intergroep Verzekeringen B.V.,18048171
Interior Overstock B.V.,75745712
Interior Service Group Netherlands B.V.,34327616
InterMetro Industries B.V.,20124347
Intermission Film Europe B.V.,71393129
Intermodal Telematics B.V.,59281553
International Advisers,33218546
International Air Transport Association (Netherlands) B.V.,34085083
International Airfreight Associates B.V.,37113769
International Association of Internet Hotlines - INHOPE,34124277
International Audio Holding B.V.,09073789
International Auto OEM Supplier Dutchco Parent B.V.,69044899
International Baccalaureate Organization (IBO),50776355
International Brands Group B.V.,70093539
International Confederation of Midwives,27286042
International Congress and Convention Association (ICCA).,40409074
International Development of Technology B.V.,20119511
International Direct Sourcing B.V.,62992112
International Flavors & Fragrances I.F.F. (Nederland) B.V.,32001848
International Food Connectors B.V.,69421781
International Hotel Supply Company,28076276
International Internet Investment Coöperatief U.A.,64396657
International Law Firm Taheri B.V.,68019025
International Professional Resources (Europe) B.V.,52476766
International School of Amsterdam,41199478
International Society of City and Regional Planners (ISOCARP),40397271
International Solid Waste Association,74279807
International Step by Step Association,34113137
International Travel Support Centre B.V.,23080118
International Wellness Resorts B.V.,52086755
"Internationale Montessori Vereniging ""Association Montessori Internationale"" A.M.I.",40531711
Internationale School Eerde,41025574
Internationale School Eerde B.V.,08113245
Internova Professional Lighting B.V.,20079768
Intero Integrity Services,30128245
InterQuest Europe B.V.,34144637
Intersafe Netherlands B.V.,23019792
Interscience B.V.,20057409
Intersnack Procurement B.V.,27160311
INTERSPORT International Services B.V.,67403107
Interstars B.V.,61035246
Interteach B.V.,52455440
Intertek Nederland B.V.,24069423
Intertoys B.V.,74152513
Intertruck Benelux B.V.,24130134
Intertrust (Netherlands) Employment B.V.,27106729
Intertrust Group B.V.,56528582
Intervet International B.V.,16028015
Interworks B.V.,77260678
InterWorks Netherlands B.V.,75425912
InterXion Headquarters B.V.,34128125
InterXion Nederland B.V.,34116837
Intesa Sanpaolo S.p.A - Amsterdam Branch,85028223
Inteva Products Netherlands,50343602
Intigris B.V.,50050168
INTK B.V.,64734285
Intodata Nederland B.V.,71751793
Intomechanics B.V.,70121494
IntoPeople B.V.,18084688
