Organisation,KVK number
L - founders of loyalty Group B.V.,76145735
L&T Technology Services Limited,58425632
L1nda B.V.,57861765
L3Harris Technologies Netherlands B.V.,91003601
L61ROASTERY B.V.,71937331
Lab Associates,20141063
Lab Digital B.V.,63133644
Labb B.V.,75193639
LabConnect Europe B.V.,86494287
Labcorp International Holdings B.V.,30209211
Label A B.V.,24436380
Label Products B.V.,65041976
Laboratorium Medisan B.V.,01055965
Laboratorium Ofichem B.V.,02329540
Laboratory Services International Rotterdam B.V.,24245672
Labyrinth onderzoek & advies,30188330
Lacto Europe B.V.,64666956
Lagom Automation B.V.,73759805
Lainsburgh B.V.,63302373
Lainsburgh Europe B.V.,57312672
Lallemand Netherlands B.V.,30245452
Lam Research International B.V.,09151553
Lamb-Weston/Meijer V.O.F.,22036226
Lamers High Tech Systems B.V.,10018598
Lamex Foods Europe B.V.,09067837
LAMI EUROPE B.V.,72783222
Lance Informatie Technologie B.V.,13041704
Land Life Company B.V.,59182385
Landal GreenParks B.V.,27052417
Landcent Europe B.V.,72698950
Language Partners Nederland B.V.,30227357
Lanner Europe B.V.,83261699
Lanser's Trio Industriële Diensten B.V.,34071515
Lantech.com Coöperatie U.A.,52240495
LaNubia Consulting B.V.,69787697
Laos Landschapsarchitecten B.V.,71302735
Lapidus Management & Beheer B.V.,33236868
L'Arbre Chiropratique B.V.,73251755
LARK infolab B.V.,64974596
Lasalle Fund Management B.V.,34120670
Laser Tribology B.V.,65997859
Laseur Group B.V.,74892282
Lassus Tandartsen B.V.,61752614
LatentView Analytics B.V.,68532741
Laterite B.V.,69759103
Latitude Amsterdam B.V.,86990837
Laudes B.V.,84821280
Laurentius Stichting voor Katholiek Primair Onderwijs,41160449
LAVA Therapeutics N.V.,65335740
Lawrence Equipment Europe B.V.,50418491
LC Packaging International B.V.,29014906
LCC North Central Europe B.V.,16078359
LCL (The Netherlands) B.V.,51541297
Ldesign Media,86167979
LDH Europe B.V.,69251703
LDL Beheer B.V.,74545574
Le Blanc Media B.V.,61821802
Le Cordon Bleu International B.V.,33180420
Lead Machine B.V.,34266634
Leader Biomedical Europe B.V.,61710245
LeaderTelecom B.V.,55173071
LeadingCourses B.V.,34219855
LeadingMile Consulting B.V.,70158797
Leads.io Benelux B.V.,59384360
LeanIX B.V.,77441257
Leanplum B.V.,69385912
Leap Netherlands B.V.,76528456
Leap29 Nederland B.V.,58212817
Leapmotor International B.V.,93378033
Learned B.V.,72166371
Learning Hub Friesland B.V.,70754101
LeasePlan Digital B.V.,69780625
LeasePlan Global B.V.,39043990
LeaseWeb Global B.V.,60593652
LeaseWeb Netherlands B.V.,30141839
LeaseWeb Network B.V.,30188570
Lebara B.V.,34161616
Lebrun B.V.,36041777
Leco Europe B.V.,14031620
Ledstores Europe B.V.,67513247
Lee Hecht Harrison Nederland B.V.,30156802
Leeruniek B.V.,63773791
Legadex B.V.,34303161
Legamaster International B.V.,08044740
Leger des Heils Welzijns- en Gezondheidszorg,41208154
LegionellaDossier Tech B.V.,80989187
Legrand AV Netherlands B.V.,34221210
Leiden Cryogenics B.V.,28056762
"Leidos, Inc.",52693139
Leids Universitair Medisch Centrum (LUMC),27366422
Leisure Expert Group B.V.,65005244
Leisure International Nederland B.V.,33129766
Lejeune Association Management B.V.,27141841
LEKKER international B.V.,60449055
Lely Industries N.V.,24220073
Lely International N.V.,24441877
Lely Services B.V.,59364335
Lely Technologies,27184864
Lelypharma B.V.,39082752
Lelystad Platform B.V.,67915833
Lemba B.V.,77681940
Lemonade Agency B.V.,75134454
Lemonade B.V.,73233293
Lemonade Tech B.V.,88070271
Lendex B.V.,60251727
Lenntech B.V.,27289106
Lenovo International Coöperatief U.A.,61479047
LENS B.V.,66393922
Lensor B.V.,82716889
Leo Drive B.V.,92984304
Leonteq Securities AG,64280055
LeoSat B.V.,68818734
Les Coyotes de Paris B.V.,82279543
LessonUp B.V.,64760006
Lestrade Financial Services B.V.,59668237
Letink Design B.V.,68630514
Lets Blinq B.V.,53125444
Level.works Holding B.V.,82733473
Leverage Holding B.V.,65425111
Leviat B.V.,06069052
Levitech B.V.,32156484
Levy Associates Limited,55311970
Lewis Communications B.V.,14066694
Lexcom B.V.,17146473
LexisNexis Business Information Solutions B.V.,09002289
Leyden Laboratories B.V.,78220521
Leydenjar Technologies B.V.,65766539
Leylines B.V.,34250234
LeyWood Warenhuizen B.V.,34143572
LFI24 B.V.,81857268
LG CNS Europe B.V.,39081700
LG Electronics Benelux Sales B.V.,39091823
LG Electronics European Shared Service Center B.V.,39091840
LG Sonic B.V.,51728699
LGMG Europe B.V.,71776850
L-Groep Totaalonderhoud B.V.,74566210
LHIC Netherlands II B.V.,52452409
Libertatis Ergo Holding B.V.,28071688
Liberty Bishop (Netherlands) Ltd,75105551
Liberty Global B.V.,34168993
Liberty Global Corporate B.V.,80203779
Liberty Global Technology Services B.V.,80203582
Libra Energy B.V.,37140128
Liebherr-Nederland B.V.,31030145
Life Fitness (Atlantic) B.V.,24254910
Life Fitness Shared Services Center,24292381
Life Science Methods B.V.,53301978
Life Technologies Europe B.V.,29040249
Lifecell Ventures Coöperatief U.A.,34298299
Lifely B.V.,66180074
LifeQ B.V.,69311544
Lifetri Groep B.V.,70148821
Lifetri Uitvaartverzekeringen N.V.,69933332
L-IFT B.V.,62421174
LIFT International B.V.,69524432
Liftinstituut Holding B.V.,34157357
Lighthaus B.V.,73797235
Lighthouse Financial Technologies Coöperatief U.A.,85471364
Lighthouse Instruments B.V.,52017400
Lighthouse IP B.V.,34259168
Lighthouse Netherlands B.V.,66478138
Lightsource Renewable Energy Netherlands Development B.V.,69841527
Lightspeed Netherlands B.V.,17229470
Ligo B.V.,63699060
Lijfkracht B.V.,59430729
Like Minds Consulting B.V.,66102170
Lily Maas,01090497
Limagrain Nederland B.V.,22000154
Liman Restaurant,74449915
Limbourg & Partners Maastricht N.V.,14065962
Lime Network B.V.,72024100
LIMFLOR B.V.,60215089
Linco Food Systems B.V.,09054346
Lincsafe B.V.,57220662
Linde Gas Benelux B.V.,24269483
Linden IT B.V.,56679920
Lindex B.V.,24198586
Lindsay International Holdings B.V.,34262200
Lindt & Sprüngli (Netherlands) B.V.,73086614
Lineage Dutch Bidco B.V.,67540619
Lineage Dutch Coöperatief U.A.,68781113
Lineage NL 3 TRS B.V.,86656465
Link Inspection (Europe) B.V.,63737264
LinkedIn Netherlands B.V.,34370729
LINKIT B.V.,30146769
Linklaters LLP,34367130
LINKS Analytics B.V.,27341807
Linkthings B.V.,66519535
Lintec Europe,33266688
Linx IT Solutions,34169234
Linxens (the Netherlands) B.V.,10041575
LioniX International B.V.,65714547
LionRock Maritime B.V.,93730926
LionsBot Europe B.V.,88223566
Lionsville B.V.,86243799
LionVolt B.V.,77750470
LipoCoat B.V.,66706858
Lipton Teas and Infusions B.V.,81254075
Lipton Teas and Infusions Netherlands B.V.,81871058
LIQAL B.V.,60310057
Liquid Enterprises B.V.,24407492
Liroy B.V.,27186427
Lismar Engineering B.V.,33278604
Litecad B.V.,04070505
Lite-On Technology (Europe) B.V.,33300776
Lithium Werks B.V.,70264554
Littelfuse B.V.,30012536
Littelfuse Netherlands B.V.,72434341
Liugong Machinery Europe B.V.,34371519
LiveDrop B.V.,83120564
Livekindly Benelux B.V.,57934428
LivePerson Netherlands B.V.,57588805
LiveRamp Netherlands B.V.,68312210
LiveWall Group B.V.,66276721
Livework Netherlands B.V.,65582845
Living-IT B.V.,24361910
Livoltek Europe B.V.,87513153
Lizard Apps B.V.,58228039
Lloyds Bank GmbH,72211342
Lloyd's Register EMEA,24350455
LM Wind Power R&D (Holland) B.V.,33256041
LMtec Benelux B.V.,86440543
LNRS Data Services B.V.,33293475
Locada B.V.,59310685
Locamation B.V.,06057207
LOCASOFT B.V.,69375798
Lockheed Martin Global Inc.,34379390
Locsense B.V.,77655508
Locus People Engineering B.V.,62293540
LODEWIJK BALJON landschapsarchitecten B.V.,34154157
Lodewijks Meat B.V.,51906538
LOGEX B.V.,51459353
Logic8 B.V.,30172648
Login VSI B.V.,55725147
Logiqs B.V.,61203785
Logisch industriële automatisering B.V.,51480492
LOGISTEED Europe B.V.,11027294
Logistic Business Partners (Rotterdam) B.V.,29039799
Logistic Systems Engineers B.V.,36035168
Logistyx Technologies Europe B.V.,56537964
Logitech Benelux B.V.,30118412
Logitech Europe S.A.,10144574
Logoplaste Elst B.V.,24414589
Logsign B.V.,82271526
Lois Advies B.V.,75262843
Lola Landscape Architects,78581958
Lomez International B.V.,34109317
Londen & Van Holland Registeraccountants en Belastingadviseurs,34376867
lone.biz B.V.,34358504
LONGi (Netherlands) Trading B.V.,78628431
Longship B.V.,01146382
Lonza Netherlands B.V.,14083599
Lookout International B.V.,63333511
Loonpoint B.V.,66578000
Loop Robots B.V.,80487939
Loos van Vliet B.V.,54081688
Loovas Interim Solutions B.V.,73108111
Loparex B.V.,08094474
L'Oreal Nederland B.V.,32025040
Louis Dreyfus Company Juices Holding B.V.,69003815
Lovapharm Consulting B.V.,57989060
Lovechock B.V.,58032622
Lovevery Europe B.V.,78165008
Lovink Enertech B.V.,09100466
Lowell Financial Limited,73389579
Lowland Nederland B.V.,34214161
Loxodon B.V.,56428731
Loyal Cargo Services B.V.,71842764
Loyens & Loeff N.V.,24370566
Loyyo B.V.,78623707
LR B.V.,77518101
LRQA Nederland B.V.,24247948
LS ELECTRIC Europe B.V.,34359767
LSI - Netherlands B.V.,61284912
LT Foods Europe B.V.,66787726
LTD NL B.V.,69556318
LTIMindtree Limited,34215231
LTP Import Export,71397930
"Lubbers, Boer & Douma B.V.",57535744
Luchthaven Hotel Beleggingsmaatschappij BV,33293945
Luchtverkeersleiding Nederland,34367959
Lucid Europe B.V.,82509654
Lucid Netherlands B.V.,82512590
Lucidchart B.V.,72481617
Lucido B.V.,84361433
Lucky Kat B.V.,63892030
Lucy Software B.V.,30194420
Lukkien B.V.,09064424
LUKOIL Benelux B.V.,24328460
LUKOIL Finance B.V.,24272301
LUKOIL International Services B.V.,34193265
Lumen Technologies NL B.V.,33299249
LUMICKS B.V.,60187263
LUMICKS CA B.V.,82308160
Lumiforte EMEA B.V.,18029088
Lumileds Holding B.V.,61778737
Lumileds Netherlands B.V.,17129272
Lummus Technology Heat Transfer B.V.,27110728
LUMO LABS B.V.,71718192
Lumos Diagnostics (NL) B.V.,76332373
Lumosa Lighting B.V.,86871986
Luna Chemicals B.V.,69443394
Luna.nl B.V.,24268199
Lunatech Labs,24426307
Lunenburg Vlees B.V.,30124287
Lurfs Engineering B.V.,70021074
Luscii healthtech B.V.,53119843
Lusoco B.V.,69907374
Lutech Project Solutions B.V.,67250726
Lutech Projects B.V.,67250750
Lutech Resources B.V.,27339069
Lux Research B.V.,50367382
Luxexcel Group B.V.,20160719
Lux-mate Europe B.V.,69619174
Luxoft Netherlands B.V.,65429222
Luxottica The Netherlands B.V.,33281895
Luxs B.V.,63975254
