Organisation,KVK number
N G Foods B.V.,82395322
N.V. ADO Den Haag,27180758
N.V. Afvalzorg Holding,34081570
N.V. Elektriciteits Produktiemaatschappij Zuid-Nederland EPZ,17059425
N.V. Eneco,24246970
N.V. Juva,27225354
N.V. Limburgs Instituut voor Ontwikkeling en Financiering ( Liof ),14604604
N.V. Nederlandsch Octrooibureau,27263335
N.V. Nederlandse Gasunie,02029700
N.V. Nutricia,27090548
N.V. Organon,16032089
N.V. PWN Waterleidingbedrijf Noord-Holland,34072007
N.V. Subaru Benelux,34045923
Naaykens' Luchttechnische Apparatenbouw B.V.,18022242
N-able Acquisition Company B.V.,57964572
Nabtesco Marine Europe B.V.,24256085
Naess Ship Management B.V.,34226151
Naïf Care B.V.,57166692
Naktuinbouw,41150707
Nalco Europe B.V.,28057490
Nalog.nl B.V.,66449898
Nankang Tire Netherlands B.V.,27363824
NanoCell Therapeutics B.V.,80176801
Nanomi B.V.,34270847
NanoString Technologies Netherlands B.V.,82814651
Narrative Labs B.V.,70028176
NASA Holding B.V.,61062618
Nash Exchange B.V.,81156421
Nationaal Energie Traineeship B.V.,76068749
National Instruments Netherlands B.V.,30116813
Nationale Postcode Loterij N.V.,41183598
Natural Life B.V.,72991828
Nature Bio Foods B.V.,70007284
Naturel West Corp EU B.V.,34389173
NatWest Markets N.V.,33002587
NautaDutilh N.V.,24338323
Navaio B.V.,69516219
Navan Netherlands B.V.,71801375
Navan Netherlands Labs B.V.,73188794
Navbea B.V.,85677477
Navico Group EMEA B.V.,33230020
Navico Logistics Europe B.V.,24404345
Navigram Technologies B.V.,30160981
NavInfo (Europe) B.V.,17262361
Navis Netherlands B.V.,82100055
Navitas Netherlands B.V.,72176571
Navquim B.V.,24366424
NAXCON B.V.,90530306
NB Europe B.V.,34181833
Ncardia Services B.V.,77260163
NCOI Opleidingen B.V.,32062944
NCR Dutch Holdings B.V.,34150777
NCR Nederland B.V.,33019902
ND Group B.V.,61543691
Nearfield Instruments B.V.,65040007
Nebest B.V.,23046375
Nebig International B.V.,37089153
Nebras Power Investment Management B.V.,30125512
Nebras Power Netherlands B.V.,67282687
NEC Nederland B.V.,32114531
Nectaerra B.V.,68046405
Nector Holdings B.V.,80425232
Nedair Freight B.V.,51834979
Nedap N.V.,08013836
Nedcon B.V.,09043438
Nederland Sales & Service B.V.,51607417
Nederlands Centrum voor Informatie Management,27136540
Nederlands Dans Theater,41150184
Nederlands Forensisch Instituut,50384511
Nederlands Instituut Publieke Veiligheid (NIPV / IFV),56802633
Nederlandse Aardolie Maatschappij B.V.,04008869
Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,27078545
Nederlandse Loterij Organisatie B.V.,65691288
Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO,27376655
Nederlandse provincie van de Congregatie van de Missionarissen van het Heilige Hart,63527669
Nederlandse Rugby Bond,40516782
Nederlandse Stichting voor Leprabestrijding,41199723
Nederlandse Voedsel- en Warenautoriteit,50688049
Nederlandse Waterschapsbank N.V.,27049562
Nedflex B.V.,17186480
NedLes B.V.,71291040
Nedsa,27193802
Nedscaper B.V.,75951282
Nedspice EMEA B.V.,24107228
Nedstar B.V.,70866414
NedTrain,30134311
Nedzon Engineering B.V.,24253107
Neele-Vat Services B.V.,24348291
Neele-Vat Transport B.V.,24262281
Neelikon Specialities Europe B.V.,81268769
Neenah Coldenhove,08003231
Neewee Netherlands B.V.,70932271
NEFAB PACKAGING NETHERLANDS B.V.,38018450
NEG at Work B.V.,65209133
Nekst IT B.V.,58226729
Nelipak B.V.,12021271
Nelissen & Van Alten Juristen B.V.,87725819
Nelson Schoenen B.V.,34022079
NEM Energy B.V.,86238922
Nemo Healthcare B.V.,17273687
Nemoto (Europe) B.V.,90859499
Nemtek Europe B.V.,86012908
Neo Joule B.V.,75280663
"Neo, Netherlands Geomatics & Earth Observation B.V.",39061153
NeoBards Entertainment (Netherlands) B.V.,91471583
Neocles B.V.,61625949
Neogene Therapeutics B.V.,72498331
Neogrid Netherlands B.V.,34106678
Neople Labs B.V.,88917274
NEP Media Solutions B.V.,32113537
Neplus Financial Service,66378311
Nepocon B.V.,08124935
Neqsol Holding B.V.,86005154
Nerds & Company B.V.,53044630
NES Global B.V.,50223844
NEST Scientific Europe B.V.,86861182
Neste Components B.V.,24280381
Neste Netherlands B.V.,24432861
Nestlé Nederland B.V.,33129581
Nestr B.V.,67304818
Net Display Systems B.V.,17085984
net2grid B.V.,54122317
Net4s B.V.,56094604
Netafim Netherlands B.V.,24196434
NetApp B.V.,34103846
NetApp Holding & Manufacturing B.V.,34235214
NetAxis Nederland B.V.,64963896
Netcapital B.V.,63657287
Netcompany Netherlands B.V.,27239458
Netconomy Netherlands B.V.,88550257
NetEconomy,27159450
Netfin B.V.,72284803
Netflix International B.V.,62266519
Netherlandix C.V.,85609757
Netherlands center for the Clinical advancement of Stem cell & Gene Therapies B.V.,76859134
Netherlands Food Partnership,30204842
Netherlands Hexaware Technologies,34233511
Netherlands Yeahcome Health Care B.V.,27286010
Netlink B.V.,30114672
NetMatch B.V.,02062109
NetQloud B.V.,67740073
Netra Agro B.V.,20065860
Nettleton House B.V.,77808584
Network Republic Europe B.V.,34347670
Network4Cars Trading B.V.,28094651
Neuberger Berman Asset Management Ireland Limited (Dutch branch),74108166
Neuf Amsterdam B.V.,34342390
Neufit International B.V.,56259530
Neurocast B.V.,68265425
Neutelings Riedijk Architecten B.V.,24182314
Nevenactiviteiten B.V.,30217113
Nevesbu B.V.,30079428
New Balance Europe B.V.,74260863
New Balance Netherlands B.V.,66528925
New Day at Work B.V.,55440215
New Digitals B.V.,71974768
New Electric B.V.,57661413
New Growth Plus B.V.,51379473
New Skies Satellites B.V.,30146277
NewAmsterdam Pharma Company N.V.,86649051
NewArmstrong B.V.,66153026
Neway Valve (Europe) B.V.,54109922
Neways Advanced Applications B.V.,32068209
Neways B.V.,17056612
Neways Expanding Technologies B.V.,17056659
Neways Leeuwarden B.V.,01062900
Neways Technologies B.V.,17105693
NewCold Coöperatief U.A.,55703623
NewCold Development B.V.,85003557
NEWCRAFT GROUP B.V.,34266452
NewForesight Consultancy B.V.,32160245
NewGlobe Education Services B.V.,88284735
Newion Partners B.V.,52346501
Newland Europe B.V.,17109876
Newmonday B.V.,24402811
Newport Europe B.V.,24107803
Newrest Inflight Netherlands B.V.,34201378
NEWSCON Inc.,90312600
NewStore B.V.,58653384
Newtone Audit,27366909
Newtone Audit N.V.,17187876
Newtone Belastingadviseurs B.V.,83796797
Newzoo B.V.,64850269
Nexfil Europe B.V.,60647574
Nexio Projects NL B.V.,73779474
Nexperia B.V.,66264111
NEXT architects B.V.,57425434
Next Drive B.V.,57151644
Next Generation Sensors B.V.,70007497
Next Geosolutions B.V.,50128701
Next Ocean B.V.,66450667
NextGreen B.V.,68860706
Nextlogic B.V.,71840656
NextPax.com B.V.,39096412
Nextpayroll B.V.,52176878
Nextportchina B.V.,60022132
Nextview,14118757
Nexus Nova B.V.,75291045
Ney & Partners Nederland B.V.,75690276
NGD HOLDINGS B.V.,65943112
NGT International B.V.,56366825
NH the Netherlands B.V.,32037280
NHL Stenden Hogeschool,41002686
NHL Stenden Hospitality Group B.V.,01102285
NIBC Bank N.V.,27032036
NICE Netherlands B.V.,34140161
NiceDay Healthcare Nederland B.V.,77868056
Nicemakers B.V.,71935215
Nichicon Europe B.V.,24339112
Nichirei Holding Holland B.V.,24174746
NICo-Lab B.V.,64531775
Nicotech International B.V.,18056080
NIDEC EUROPE B.V.,08172600
Nidec Europe Sales B.V.,77872088
Niden contracting Sp z o.o.,56258542
Nielen Schuman B.V.,34178341
Nielsen Media Research B.V.,33190041
Nielsen Precima B.V.,60144165
Nieman Raadgevende Ingenieurs B.V.,30086383
Nieto Holding B.V.,75728389
Nieto Trading B.V.,50349244
Nieuwbouw Online B.V.,66257247
NIF Investment Manager B.V.,90637224
Nihon Food B.V.,52525732
Niigata Power Systems (Europe) B.V.,24126986
NIIT Limited UK - Netherlands Branch,62249355
Nijhoff Architecten B.V.,56707347
Nijhuis Water Technology B.V.,09091123
Nijwald B.V.,08162755
Nike Retail,32060874
Nikon Europe B.V.,34139593
Nilogy B.V.,87072408
Nina.care B.V.,78234786
NIO Netherlands B.V.,84538066
NIO Nextev Europe Holding B.V.,81099517
NIPED Prevention B.V.,57918597
NIPO Software B.V.,34240502
Nippon Carbide Industries (Netherlands) B.V.,14047976
Nippon Cargo Airlines,34064570
Nippon Express (Nederland) B.V.,34047815
Nippon Koei Energy Europe B.V.,73485934
Nippon Television Network Europe B.V.,33235625
Nippon Thompson Europe B.V.,24127132
Nipro Medical Europe N.V.,34104849
NIRAS Nederland B.V.,17133723
Niref B.V.,24334301
Nirint Shipping B.V.,24103210
Nissan Motor Parts Center B.V.,33294300
Nisshin Seifun Group Europe Office,34312368
Nissin Dental Products Europe B.V.,72758325
Nissui Europe B.V.,33207608
Nitta Corporation of Holland B.V.,37056174
Nium Europe B.V.,88844889
Nixu,30233279
Nixxes Software B.V.,30158292
NIZO food research B.V.,09139048
Nkkk Europe,34069070
NKT HVC B.V.,67212743
NL Architects B.V.,34146497
NL Urban Solutions B.V.,59484675
NLC Ventures Netherlands,57340943
nLighten HQ B.V.,84107588
NLIST Engineering B.V.,85451290
NLMK International B.V.,34261788
NM Beauty Industries B.V.,63969769
Nmbrs B.V.,34150521
NMC Special Products B.V.,23083612
NMi Certin B.V.,27233418
NMT Holding B.V.,36048711
NMT International Shipping B.V.,34220951
NMZ Trading B.V.,74675400
NN Insurance Eurasia N.V.,52403424
NN Personeel B.V.,27193814
NNcourage B.V.,55224741
NNR Global Logistics Netherlands B.V.,50395173
No Brothers Nederland B.V.,09184607
Nobel Biocare Distribution Center B.V.,30220841
Nobel Recruitment B.V.,75447940
Nobian Chemicals B.V.,31038214
Nobian Industrial Chemicals B.V.,32074604
NOBL Q EUROPE B.V.,63343673
Noble Environmental Benelux B.V.,62123807
Noble Netherlands B.V.,24379934
Nobleo Bouw & Infra B.V.,53089847
Nobleo Control B.V.,59120053
Nobleo Electronics B.V.,93473508
Nobleo Embedded B.V.,59120193
Nobleo Manufacturing B.V.,55804284
Nobleo Technology B.V.,51466937
Noblesse Proteïns B.V.,01133204
Nobru B.V.,08205315
NOC*NSF,09059703
NofaGroup Holding B.V.,24432166
Nokia Solutions and Networks B.V.,34259706
Noldus Information Technology B.V.,09094422
Nomads Agency B.V.,66451264
Nomenta Industries International B.V.,68943865
Nomi Co-Packing,20067971
Nomilk2day Engineering B.V.,72743468
Nomios Netherlands B.V.,28098276
NOMOBO Talent B.V.,66657261
Nomura Europe Finance N.V.,33221661
Nomura Financial Products Europe GmbH,73668281
Noordboer International Ondernemen B.V.,52790304
Noordster Medical Services B.V.,83545824
Noordzee International B.V.,39074598
Noorman Hendriks Partners B.V.,02042874
NoPalm Ingredients B.V.,90711815
Nordcloud B.V.,65075455
Norden Shipping and Engineering B.V.,89498216
Nordex Netherlands B.V.,81210671
Nordic Group B.V.,34084966
Nordic Hydropower Aktiebolag,62907239
Nordiqes B.V.,84274131
Nordson B.V.,14059594
nordvpn S.A.,80418260
Norgine B.V.,30127007
Norgine Healthcare B.V.,80654193
Noria B.V.,78123321
Norinchukin Bank Europe N.V.,72676094
Norit Nederland B.V.,31020246
NORNORM B.V.,78348110
Norsk Hydro Holland B.V.,21015516
Nortek Oceanografische Instrumenten en Diensten B.V.,27250791
North Sea Tankers B.V.,24437985
Northern Linen B.V.,09102545
Northern Trust Fund Managers (Ireland) Limited Netherlands Branch,74608991
NorthernLight Design B.V.,34311220
NorthgateArinso Nederland B.V.,24270610
Northpool B.V.,56443838
Northrop Grumman Sperry Marine B.V.,24233711
Northstone Executive Consulting B.V.,73946605
Northumbria University Amsterdam B.V.,70764441
Northwave Nederland B.V.,30212330
Norton Rose Fulbright LLP,34371628
NOSAWA AMSTERDAM B.V.,63583437
NOSTICS B.V.,77824180
Notaris Leskens B.V.,70325960
NotuBiz Nederland B.V.,30095231
Nouryon Coöperatief U.A.,71189424
