Organisation,KVK number
O III Architecten B.V.,14041630
O My Bag B.V.,69094527
o9 Solutions Netherlands B.V.,74239015
Oaky B.V.,59032936
Oasen N.V.,29010639
Oatly Netherlands B.V.,73642746
Oatly Netherlands Operations & Supply B.V.,73642754
OBA Uitzendbureau B.V.,24335225
Oberst B.V.,14126660
Obertop Consultancy B.V.,68079672
OBI4wan B.V.,53021029
Objective Partners B.V.,61551147
Oblivion Cloud Control B.V.,61878294
Obvious People B.V.,58164359
OC&C Strategy Consultants B.V.,84069236
OCE Nederland B.V.,68288026
Ocean Network Express (Netherlands) B.V.,68921810
Oceaneering Mobile Robotics B.V.,30226459
Oceans of Energy B.V.,65993586
Oceanwide Expeditions Holding B.V.,50590316
Oceanwide Personnel Services B.V.,68552866
OCI Methanol Marketing B.V.,76146367
OCI N.V.,56821166
OCI Nitrogen B.V.,34388021
OCI Personnel B.V.,57740151
Ockto B.V.,66060923
OCLC B.V.,28115418
OCP Fund Management B.V.,72859121
OCP Residential B.V.,69408645
OCRE Offshore Services B.V.,57982163
OCS Consulting B.V.,17101996
Octagon Professionals International B.V.,27360428
Octatube Engineering B.V.,27222430
Odd.Bot,72959916
Odd-e Netherlands B.V.,68559755
Odido Netherlands B.V.,33265679
Odin Warehousing & Logistics B.V.,34210313
Odin-RVB Chemicals B.V.,27175568
Odura advies en projecten B.V.,69122970
Odyssey,66693640
Odyssey Almere I B.V.,72754060
Odyssey Europe B.V.,76793516
Oehoe B.V.,78402964
OFD Holding B.V.,24264988
Off the Fence B.V.,33258526
OfferZen B.V.,75679027
Office App B.V.,61947199
Office for Metropolitan Architecture (O.M.A.) Stedebouw B.V.,24167946
office_winhov B.V.,57383030
Offshore Independents Personnel B.V.,52516210
Oficina,77396901
Ogilvy | Social.Lab,33020671
OGL Quality Services B.V.,68064853
OGS Europe B.V.,59024887
OGS Netherlands B.V.,33302833
OHPEN Services B.V.,54158311
OHPEN Technology B.V.,54158133
O-I Netherlands B.V.,24202107
"OIKOCREDIT, Ecumenical Development Cooperative Society U.A.",31020744
"Oilfield International Equipment and Supplies, Pte. Ltd. Dutch Branch",64443000
Oilinvest (Netherlands) B.V.,24256665
OIM Noordwijkerhout B.V.,28106299
Okada Europe B.V.,75559625
Okamura Corporation,24363955
OKAYA EUROPE GmbH The Netherlands branch,59094702
OKRA landschapsarchitecten B.V.,30146760
Okra Technologies B.V.,76038793
Okta Identity Netherlands B.V.,77029720
Okta UK Limited,73960772
OLAF HUSSEIN Wholesale B.V.,71039686
Olam Brands B.V.,24375829
OLAM Cocoa,35002995
Olam Europe B.V.,24278173
Olam Global Agri Brands B.V.,83796401
Olam Global Agri Netherlands B.V.,83123598
Olam Services,35008749
Olba,04037346
Oldenburg Bonsèl Nederland B.V.,64915549
Oleading,71504249
Olenex Edible Oils B.V.,09136774
Olenex Holdings B.V.,64445070
Olico B.V.,80544940
Olink Proteomics B.V.,66837839
Olive Traiteur,88318214
Oliver B.V.,17257650
Oliver James Professionals B.V.,69912513
Oliver Marketing B.V.,58771816
Oliver Wyman B.V.,33273224
Oliver-Tolas Healthcare Packaging B.V.,12045703
Olmix B.V.,76951863
OLX B.V.,34243234
OLX Global B.V.,34301226
Olympia Nederland B.V.,27332657
Olympia Tools International,72344431
Olympic Hotel Amsterdam B.V.,68681453
Olyx B.V.,60161175
OM Partners Nederland B.V.,62144286
Omega Architecten,11050157
OMERS Infrastructure European Holdings B.V.,57391092
Omgevingsdienst Haaglanden,56093926
Omgevingsdienst Zuidoost-Brabant,57159815
Ommatidia Nederland B.V.,86511092
Omni Bridgeway B.V.,27148949
Omnimap B.V.,01130545
Omniplan Development B.V.,59490012
Omnitek B.V.,50007858
Omoda Servicekantoor B.V.,20141524
Omori Europe B.V.,63699508
OMRON Electronic Components Europe B.V.,34161316
Omron Europe B.V.,34068729
Omron Healthcare Europe B.V.,34210306
OMVE Netherlands B.V.,30116818
Omvlee Neve B.V.,68998074
Omya Netherlands B.V.,20084275
ON2IT B.V.,11062209
ONC.Europe B.V.,68719604
"Onderlinge Verzekerings-Maatschappij ""Noord Nederlandsche P&I Club"" U.A.",02011217
Onderlinge Waarborgmaatschappij DSW Zorgverzekeraar U.A.,24168208
Onderwijs Innovatie Groep B.V.,27149998
Onderwijsstichting Esprit / Amsterdam Internationaal Community School (AICS),41213992
One Acre Stichting,60856998
One Chiropractic Studio B.V.,74268457
One Diversified Netherlands B.V.,71745483
One People Services B.V.,51112094
One Trading Exchange B.V.,88528766
One2few B.V.,32129953
One-Consultants B.V.,08177855
Onedayone Fruit Europe B.V.,69017786
ONE-Dyas B.V.,33211110
OneEightyOne B.V.,54813352
OneFit Unlimited B.V.,64538044
Onego Shipping & Chartering B.V.,24370008
O'Neill Europe B.V.,28036121
Onelinq B.V.,63548046
Onera B.V.,68563388
Onesecondbefore,71183949
Onetrail B.V.,23045776
oneUp B.V.,58249672
OneWelcome B.V.,52035476
ONGC Nile Ganga B.V.,24259746
Onguard B.V.,51086751
Onior Group B.V.,57725292
Online Payment Platform,50124498
Online Recruit Group B.V.,32145061
Onlogic B.V.,51190486
Onnes Technologies B.V.,73146064
Ono Connect B.V.,73889725
Onramper Technologies B.V.,76602877
OntoPharma,65973216
Ontwerpwerk B.V.,27139775
Ontwikkelingsmaatschappij Het Idee B.V.,34280684
Onur Airbrokers B.V.,34124660
ONWARD Medical N.V.,64598748
Onward Technologies B.V.,82990824
ONYX Healthcare Europe B.V.,55306373
OOCL Logistics (Europe) Ltd,24260347
"Oolders, Heijning & Voogelaar B.V.",33248757
Oomen Architecten B.V.,20046556
Oostendorp Apparatenbouw B.V.,11013389
Oostmann Groep B.V.,64301303
Ooze V.O.F.,24458171
Open Social N.V.,60888970
Open Source Investor Services B.V.,52279723
Open Text Coöperatief U.A.,34314352
Open Universiteit Nederland,14128608
Open Vantage B.V.,77774558
Open Web IT B.V.,64636046
OpenDeur B.V.,78400759
OpenUp Technologies B.V.,76848337
Operator Groep Delft B.V.,27227223
OPHTECS Europe B.V.,09046451
OPNT B.V.,68202857
Opple Lighting B.V.,59334010
OppoSuits B.V.,63661314
OPSEC INTERNATIONAL B.V.,74814990
Opsens B.V.,85522562
OPT/NET B.V.,70932301
Optelec Nederland B.V.,24319004
OPTEX SECURITY B.V.,80418317
OPTEX Technologies,27141718
Opticon Sensors Europe B.V.,34064005
Optics11 B.V.,52469417
Optics11 Life B.V.,90256832
Optimax Access Ltd,78345766
Optimizely B.V.,34301195
Optimum Prime B.V.,67134777
Optiver Holding B.V.,33186961
Optiver Services B.V.,61090891
Optiwa B.V.,12020218
Opure B.V.,02085153
OQ Trading (Europe) B.V.,56971680
ORA Traders B.V.,37079580
Oracle Financial Services Software B.V.,34134447
Oracle Global Services Netherlands B.V.,74669974
Oracle Nederland,30096087
Oral Care Center B.V.,18131245
Oramon B.V.,56624042
Orange Architects B.V.,58103368
Orange Business Netherlands B.V.,33282975
Orange Cyberdefense Netherlands B.V.,24432272
Orange Investment Managers Netherlands B.V.,66684188
Orange Quantum Systems Operational B.V.,78254299
Orange Quarter B.V.,71213791
ORANGE Technologies B.V.,73278025
OrangeNXT B.V.,65884183
OrangeTrail B.V.,52789616
Orangina Schweppes Holding B.V.,34238452
Oranje Transport B.V.,76536904
Oranjedak B.V.,17113671
Orbisk B.V.,74306219
Orbital Eye B.V,55618898
Orbys B.V.,08106153
Orchest Software B.V.,77757610
Orderchamp B.V.,72677872
Ordina Subscription Management & Utilities B.V.,34159722
Ore Energy B.V.,87899728
Oreon Holding B.V.,32142809
Orffa Additives B.V.,18129478
Orga B.V.,24230253
Organic Assistance,09071239
Organik Kimya Netherlands B.V.,34194723
Organon Pharma B.V.,75977958
ORGX B.V.,83062378
Orient Express Container (Netherlands) B.V.,24433902
Orient Overseas Container Line Limited,50485601
Orientaals Restaurant Tzong Don,16003464
Oriental City Amsterdam B.V.,74125958
Origin Fruit Direct B.V.,24067257
Origio Benelux B.V.,34246551
Orion Engineering B.V.,17069713
Orion Project Services B.V.,58923624
OrionGrip B.V.,82488169
OrionPartners B.V.,72698306
ORIX Corporation Europe N.V.,24272679
Orlaco Products B.V.,09087596
Ormco B.V.,31041706
ORMIT B.V.,30095919
Oro Agri International B.V.,52113892
Orodent Stiens B.V.,64321223
Orona The Netherlands B.V.,28078799
Orquesta B.V.,88882179
Orsted Wind Power Netherlands B.V.,63586088
ORTEC B.V.,24421147
ORTEC Finance B.V.,24421148
ORTEC Optimization Technology B.V.,24421134
ORTEC Technology B.V.,84441879
Ortery Technologies B.V.,86863193
Ortho Stadskanaal B.V.,52154009
Orthocenter B.V.,37137628
Orthocenter N.V.,36014140
Orthodocs B.V.,67087248
Orthodontiepraktijk Nieuwegein,65193261
Oryx Stainless B.V.,27296425
Osaka University,02100035
Osbit B.V.,88340767
Osome NL B.V.,87536641
Osprey Energy Marine B.V.,84352825
OSSTEM NETHERLANDS B.V.,90352289
Ostate B.V.,77619048
Ostrica B.V.,33297966
OTC FLOW B.V.,72525037
OTC Organics B.V.,39084611
OTFLOW B.V.,67048188
Otis B.V.,33076048
Otrium B.V.,63996901
OTT HydroMet B.V.,27239004
Ottevanger Milling Engineers B.V.,56662513
OTTO Facilitair B.V.,12053825
OTTO Work Force IV B.V.,58273980
ottobike Europe B.V.,81561091
Outtask B.V.,65506286
Outtrader B.V.,89477650
Ovation,62985051
Overdie Metals B.V.,37110466
Overstappen.nl Holding B.V.,34331885
Overvast B.V.,33189602
Ovid Technologies B.V.,33193212
OviDrive B.V.,82404305
Ovotrack B.V.,30189996
Owlin B.V.,55427669
Ownership Capital B.V.,56076932
OWOW Projects B.V.,62932969
OWT Oil-Water Treatment Services B.V.,18043084
Oxbow Energy Solutions B.V.,24058209
Oxfam Novib,27108436
Oxford Global Resources (Nederland) B.V.,34113579
Oxford Global Resources Solutions B.V.,50237640
OXODIAS B.V.,58504729
Oxycom Fresh Air B.V.,08127255
OYAK Capital Investments B.V.,74990209
OYC EU B.V.,30232700
OYO Hotels Netherlands B.V.,73090255
OYO Vacation Homes Holding B.V.,09103820
OZ Export B.V.,34063429
OZ Import B.V.,34063431
