Organisation,KVK number
S&P DJI Netherlands B.V.,70705445
S. Khonkaen Foods (Netherlands) B.V.,58990577
S.C. Johnson Europe B.V.,30097965
S.C. Johnson Europlant B.V.,30037575
S.R.S. Specialist Retail Systems B.V.,33223035
S.T.R.S. B.V.,75218267
S.W.I.F.T.(Society for Worldwide Interbank Financial Telecommunication SCRL),28029574
S2IX B.V.,92892493
Saab Nederland B.V.,81122373
Saab Technologies B.V.,08060878
SAB ELECTRO B.V.,76956202
SAB&T Tec B.V.,83031766
SaBa IFA B.V.,84749776
Sabaas B.V.,62804901
SABIC Capital B.V.,14105349
SABIC Europe B.V.,14073237
SABIC Global Technologies B.V.,14095340
SABIC Innovative Plastics B.V.,20079272
SABIC Limburg B.V.,14072225
Sabre Marketing Nederland B.V.,33268357
SACA Europe B.V.,73142883
Sacaja Greens International B.V.,56285698
SafeSize B.V.,61772968
SafetyCulture B.V.,85785342
Safi Sana Holding B.V.,30285039
Sage + Archer B.V.,69611033
Sage Parts Europe B.V.,34306366
Sagesse Jeugdhulp,71169377
Saia Agrobotics B.V.,75339269
SAIC MOTOR Europe B.V.,75259877
Saietta Europe B.V.,08041258
Sail Investments B.V.,68338562
Saint-Gobain Autover International B.V.,20063584
Saipem Contracting Netherlands B.V.,50511254
Sairopa B.V.,82089221
Sakata Holland B.V.,34070696
Sakura Finetek Europe B.V.,28065449
SalesChamp B.V.,61706108
SalesScreen Europe B.V.,69064849
Salland Engineering (Europe) B.V.,05062593
Salonized B.V.,75045877
Salonized Holding B.V.,64876233
Salta Group B.V.,30074837
Salto CloudWorks B.V.,53438426
Salure ICT B.V.,60515538
Salut Holding B.V.,74998544
Salvedo Health Clinic B.V.,58901477
Salvia BioElectronics B.V.,68225806
Salvius Legal B.V.,51665174
Sam Media B.V.,27308939
SaM Solutions GmbH & Co. KG,61995266
Samarco Iron Ore Europe B.V.,34140125
Samasource International B.V.,73846015
Samba Holdco B.V.,80212700
Samco Aircraft Maintenance B.V.,14040129
SaMe Chemicals B.V.,23031961
Samenwerkende Tandartsen B.V.,17231581
SAMI Composites B.V.,90788362
Samotics B.V.,64305635
Samskip Services B.V.,73672475
Samson Regeltechniek B.V.,27084741
Samsung Bioepis NL B.V.,71719652
Samsung Electronics Air Conditioner Europe B.V.,67060269
Samsung Electronics Benelux B.V.,27157139
Samsung Electronics Europe Logistics B.V.,27252366
Samsung SDS Global SCL Netherlands Coöperatief U.A.,53842316
Samvardhana Motherson Automotive Systems Group B.V.,53709713
Samyang Foods Europe B.V.,94575959
SAN ISN B.V.,68497032
Sana Commerce EMEA B.V.,67709834
Sanctuary Kliniek B.V.,84826282
Sanctuary Kliniek Holding B.V.,59443871
Sanders US Tax Services B.V.,66499461
Sandhills East Limited - Netherlands Branch,70661960
Sandoz B.V.,32029918
Sandvik Benelux B.V.,24214689
Sandvik Mining and Construction B.V.,53449320
Sanjia Netherlands B.V.,08161006
Sankyu (Europe) B.V.,24256651
Sanofi B.V.,32050737
Sanoma Learning B.V.,34215694
Sanos Rugzorg,60126817
Sanquin Diagnostiek B.V.,67177476
Sanquin Innovatie B.V.,70159882
Santa Fe Relocation Services B.V.,33288150
"Santander Consumer Finance S.A., Branche Nederland",84418966
"Santen SA, the Netherlands branch",69983208
Santon Group B.V.,18076438
Santova Logistics B.V.,24457789
Santrade Ltd.,24225792
Sany Benelux B.V.,89533658
SAP Nederland B.V.,16053535
Sapienza Consulting B.V.,28106636
Sappi Netherlands B.V.,14631721
Sapporo Europe B.V.,74186892
Sarten Packaging Netherlands B.V.,66585066
Sartorius Netherlands B.V.,30048807
Sas Institute B.V.,32043244
Sasja Careers B.V.,70282994
Sasma B.V.,27252642
Sasol Holding (Netherlands) B.V.,33261936
Satelligence B.V.,65413105
Satelligence B.V.,81534787
Satellogic Netherlands B.V.,84194413
Satmex International B.V.,52230996
Sato Europe GmbH Benelux,64173682
Satriun B.V.,53235665
Satter Phalaenopsis B.V.,11068007
Satyam Computer Services LTD,17162457
Saval B.V.,20062192
Savision B.V.,30219223
Saxion Hogescholen,38024938
Saxo Bank A/S,34357130
Saybolt Nederland B.V.,24228922
SBIN B.V.,64009831
SBit Automatiseringsdiensten B.V.,24297473
SBM Offshore Amsterdam B.V.,62829327
SBM Schiedam B.V.,24173568
SBM Schiedam Projects B.V.,24233923
SBS Corp B.V.,82709793
SC Staffing B.V.,31045618
Scailable B.V.,77315073
Scale Logic Europe,34143597
Scale Up Nation B.V.,67697038
Scaler B.V.,86048171
Scan Modul B.V.,30076824
Scandinavian Tobacco Group Eersel B.V.,17009046
Scania IT Nederland B.V.,05062402
Scania Logistics Netherlands B.V.,56552793
Scania Production Meppel B.V.,05046846
Scania Production Zwolle B.V.,05020370
Scanmar B.V.,30111449
ScanTrust B.V.,72697881
Scarabee Systems & Technology B.V.,24166429
Scatec Poland B.V.,86163906
