Organisation,KVK number
T&P Projecten B.V.,53731344
T. Stolze Installatietechniek B.V.,27229875
T.E.C. (Tabata Europe Corporation) B.V.,33246239
T.EN Netherlands B.V.,27069724
T.O.P. (Training Organisatie Personeel) B.V.,27126022
T0K10 B.V.,66836328
T2T Consulting B.V.,58853758
TAAL Tech India Private Limited,76316319
Tachyon Security B.V.,34108038
Tacx B.V.,27072269
Tacx International B.V.,27133005
TAF B.V.,28081869
Tahal Group International B.V.,34294935
Taihan Netherlands B.V.,74529579
Taiwan Cement (Dutch) Holdings B.V.,73050423
Taj Indian Restaurant,57244227
Take Two Interactive Benelux B.V.,34177468
Takeaway.com Central Core B.V.,64473716
Takeaway.com European Operations B.V.,69769753
Takeaway.com Express Dutch Operations B.V.,90056744
Takeaway.com Express Holding B.V.,78349567
Takeaway.com Group B.V.,64441725
Takeaway.com Payments B.V.,67982778
Takeda Nederland B.V.,34035387
Takemoto Netherlands B.V.,64136035
Takenaka Europe GmbH - Netherlands Branch,34287134
Takii Europe B.V.,33223242
Takisada Europe B.V.,69865655
Tala B.V.,81178069
Talent Professionals B.V.,69509166
Talent&Pro Nederland B.V.,32070382
Talentmark Nederland B.V.,34189014
Talentsoft Holding B.V.,27190533
Talespin Netherlands B.V.,30234962
Talk360 Group B.V.,66242592
Talmundo B.V.,27332651
Talpa Azerion Gaming B.V.,76474259
Talpa Technology B.V.,72133481
Tamek Accountants B.V.,39067696
Tameson B.V.,72902531
Tamoil Nederland B.V.,24181096
Tanager Group B.V.,33162659
Tanaka Ai Europe B.V.,65270398
Tanatex Chemicals B.V.,09032504
Tandarts Rooker Kampen B.V.,08173480
Tandartsen Praktijk Zaandam B.V.,77491505
Tandartsenpost Eindhoven B.V.,77467507
Tandartsenpraktijk & Dental Clinic Prinsenhof,27333575
Tandartsenpraktijk Bakel B.V.,66218241
Tandartsenpraktijk DentWork,62538802
Tandartsenpraktijk Karselaan,34369688
Tandartsenpraktijk Mazairac B.V.,56750692
Tandartsenpraktijk Nieuwe Steen B.V.,69085625
Tandartsenpraktijk Ribic B.V.,80259588
Tandartsenpraktijk Rotterdam Noord B.V.,24346497
Tandartsenpraktijk Sonsbeekpark B.V.,71269061
Tandartspraktijk Assenberg,52386287
Tandartspraktijk Brummelhuis Oldenzaal B.V.,08145679
Tandartspraktijk Daneshvar B.V.,27345128
Tandartspraktijk Eemsmond B.V.,64654001
Tandartspraktijk Elinkwijk B.V.,59246049
Tandartspraktijk Genzale,54425549
Tandartspraktijk Julianadorp B.V.,37157931
Tandartspraktijk Julianadorp B.V.,92485286
Tandartspraktijk Kamphuis B.V.,08151377
Tandartspraktijk Palladino B.V.,34218269
Tandartspraktijk Reusel B.V.,63168197
Tandartspraktijk Utenhage B.V.,60976101
Tandartspraktijk van der Lee,01145043
Tandartspraktijk Zilverkamp B.V.,71318097
Tandem Diabetes Care Europe B.V.,85766364
Tandheelkunde Haaksbergen,57503389
Tandheelkunde Waanders N.V.,08069204
Tandheelkunde Winterswijk,71620907
Tandkliniek Goes B.V.,87553279
Tangelo Software B.V.,24295006
Tangram Architekten B.V.,33258187
TANIQ B.V.,27291266
Tanita Europe B.V.,34283024
TANK B.V.,65889223
Tank Systems B.V.,24318035
Tap Electric B.V.,80990819
Tapfiliate B.V.,60537256
TAPP Hospitality B.V.,62721720
TAQA Energy B.V.,27149802
Target Recruitment B.V.,67343643
Tarkett B.V.,18112942
Tarmac Europe B.V.,76708977
Tasking B.V.,31021363
Tasman Analytics B.V.,76541215
Tasman Global Holdings B.V.,64434877
TASS International B.V.,51391481
Tata Communications (Netherlands) B.V.,34220186
Tata Communications MOVE Nederland B.V.,32130461
Tata Consultancy Services Netherlands B.V.,33237130
Tata Consulting Engineers Limited,67233295
Tata Elxsi Limited,62969145
Tata Steel IJmuiden B.V.,34040331
Tata Steel Nederland Services B.V.,34094299
Tata Steel Nederland Technology B.V.,34083341
Tata Steel Nederland Tubes B.V.,20022812
Tata Steel Netherlands Holdings B.V.,34255148
Tate & Lyle Netherlands B.V.,35014624
Tatsumi Europe B.V.,67038077
Tau Engineering B.V.,81111797
Taurus Europe B.V.,34238689
TAUS B.V.,37147141
Tauw B.V.,38014985
Tauw Group B.V.,38021898
TAV Tepe Akfen Yatırım İnşaat ve İşletme A.Ş.,71293930
Tavant B.V.,83832424
Taxameter Centrale B.V.,33030098
Taxand Nederland B.V.,58879765
Taxi Butler B.V.,58923853
Taxiss.nl B.V.,83100350
TaxModel International,17222402
Taxolutions B.V.,54168414
Taxture B.V.,57092168
Taylor Technologies B.V.,80237193
Taylor Wessing N.V.,17282726
Taylor-Listug Operating B.V.,50925539
TBAuctions Netherlands B.V.,34373620
TBEA Cable B.V.,92227074
TBRM-Engineering Solutions B.V.,17281805
TBWA\NEBOKO B.V.,33208187
TCC Global N.V.,30129285
TCCF B.V.,68060351
tcf. services B.V.,50183516
TCI Biotech Netherlands B.V.,76481255
TCI Risk Management B.V.,84115076
TCL Global B.V.,73945110
TCL Netherlands B.V.,71020918
TconcepT B.V.,59856459
TCPM Zuid BV,16083521
TCX Investment Management Company B.V.,34281987
TD Entertainment C.V.,53713273
TD Global Netherlands B.V.,74024612
TD SYNNEX Netherlands B.V.,30128649
TE Connectivity Nederland B.V.,16015883
Teads NL B.V.,73641855
Team Industrial Services Europe B.V.,50321781
Team Rockstars IT B.V.,17200588
team.blue nl B.V.,27366574
Team6 Development B.V.,50673815
Team6 Game Studios B.V.,65925017
Teamleader Nederland B.V.,63326426
Tebi B.V.,82179204
TecAlliance Netherlands B.V.,14621420
Tecforce Professionals Engineering and Construction Services B.V.,27225266
Tecforce Professionals Engineering B.V.,16070254
Tech Mahindra IT Services NL,17145728
Tech Rise People B.V.,73774073
Tech2Change B.V.,82944261
Techathone Systems B.V.,62898760
Techcross Europe,67137199
Techlab B.V.,71056793
TechMatch B.V.,17161962
Technetix B.V.,30109705
Techni Works B.V.,60742607
Technia B.V.,08095732
Technical Systems B.V.,34231848
Technics & Production B.V.,17122646
Technip Energies International B.V.,83164642
Technip Energies Italy S.p.A. - Dutch Branch,82981582
Technisch Adviesburo J.J.Th. Willems B.V.,09071897
Technisch Buro West Brabant B.V.,20068297
Technisch Handelsbureau Rensa B.V.,09051635
Technische Unie B.V.,33235014
Technische Universiteit Delft,27364265
Technische Universiteit Eindhoven,51278871
Technische Verenfabriek De Merwede,30025165
Technisi B.V.,81451288
Technix B.V.,63810557
Techno Infra B.V.,57301484
Techno West B.V.,22026891
Technobis crystallization systems B.V.,34336601
Technochem Services B.V.,12044188
Technologies of Trust B.V.,24280696
Technology2Enjoy Consulting Services B.V.,24294669
Technomed Europe,14049781
Technopolis B.V.,33282859
Technosoft Engineering Solutions,89024850
TechSpire B.V.,74555987
TechTel B.V.,86109545
Techwave Consulting B.V.,64575799
Teddy Kids B.V.,27381036
Teero B.V.,86345443
Teijin Aramid B.V.,09109421
Teijin Holdings Europe B.V.,09117449
Teijin Kasei Europe B.V.,12029432
TEKHNE B.V.,59034955
Teklink Europe B.V.,09127620
Tekstbeeld B.V.,21017199
TEKsystems Global Services B.V.,34276159
TEKTON Architekten B.V.,59472596
Telco Investments B.V.,76241823
Teledyne CARIS B.V.,16085721
Teledyne DALSA B.V.,17143771
Telemagic B.V.,34139585
Teleon Surgical B.V.,61725242
Teleplan International N.V.,10044356
Telespazio Belgium,27335813
Teletrax B.V.,62179535
Telexis B.V.,24300047
Telfisa Global B.V.,34262314
Telford Offshore Netherlands Coöperatie U.A.,52537315
Telius B.V.,34179870
Tellart B.V.,60609567
Tellow B.V.,72550414
Telnyx Netherlands B.V.,82622124
Telstar B.V.,83310975
Tembo 4x4 e-LV B.V.,71098240
Tembo Paper Straws B.V.,76198340
TEMBOGROUP B.V.,05043147
Temenos Holland B.V.,34130500
Temper B.V.,63682281
Temper Global B.V.,86615467
Temper IP B.V.,87214822
Templafy Eindhoven,17179550
Temporary Works Design 1 B.V.,67683053
Temporary Works Design 10 B.V.,76970477
Temporary Works Design 11 B.V.,81953488
Temporary Works Design 12 B.V.,81953453
Temporary Works Design 13 B.V.,81953429
Temporary Works Design 14 B.V.,81953372
Temporary Works Design 2 B.V.,67682995
Temporary Works Design 3 B.V.,67682928
Temporary Works Design 4 B.V.,67682804
Temporary Works Design 5 B.V.,67682952
Temporary Works Design 6 B.V.,67682987
Temporary Works Design 7 B.V.,67682863
Temporary Works Design 8 B.V.,67682596
Temporary Works Design 9 B.V.,76970531
Temporary Works Design Engineering B.V.,27295998
Tempress Holding B.V.,51736101
Ten Cate Protect B.V.,06036546
Ten Cate Thiolon B.V.,06023232
Tenaris Connections B.V.,34105340
TenBrasWestinga - architectuur interieur stedenbouw B.V.,32102633
TenCate Geosynthetics Holding B.V.,08167177
Tencent International Service Europe B.V.,70972966
Tenderapp B.V.,64977110
Tenderworks B.V.,63049031
Tenergy Portfolio Services B.V.,01104644
TenneT TSO,09155985
Tennor Holding B.V.,34355195
Tensing GIS Consultancy B.V.,61927449
Tentech B.V.,27162791
Tentoo,34286792
Tenways Technovation Europe B.V.,85385115
Teqplay B.V.,61880213
Ter Hoek Vonkerosie Rijssen B.V.,08133984
Teradata Netherlands B.V.,34274817
Terberg-Benschop B.V.,30033216
Tergum Nederland B.V.,82391505
Terma B.V.,28083640
Terminal Investment Limited (Netherlands) B.V.,58229124
Ternium Internationaal B.V.,33245225
Terra Inspectioneering B.V.,65914031
Terra Payment Services (Netherlands) B.V.,63673746
Terrado Networks B.V.,76524566
TerraProtein Equity Partners B.V.,71894225
Tertium MNM,55306683
TES Sustainable Battery Solutions B.V.,82946051
tesa Western Europe B.V.,54474434
Tesi International B.V.,57469369
Tesla Dynamic Coils B.V.,74865862
Tesla Financial Services Holdings B.V.,61192066
Tesla International B.V.,64962482
Tesla Motors Netherlands B.V.,52601196
Tesselate the Netherlands B.V.,52977102
Test Yantra Software Solutions B.V.,73203017
Testbirds B.V.,62539191
Testinium B.V.,73656755
Tetra Pak B.V.,30118531
Tetra Pak Cheese and Powder Systems B.V.,01090891
Tetra Pak Processing Systems B.V.,33135877
Tétris Design & Build B.V.,53323017
Teva Pharmaceuticals Europe B.V.,30110625
Tex Technology Europe B.V.,89886976
