Organisation,KVK number
"U.S. Wheat Associates, Inc.",59208929
UAB-Online B.V.,70299226
UArchitects B.V.,17227552
Ubbink Nederland,09036422
Uber B.V.,56317441
Uber Freight Europe Holdings B.V.,77320409
Uber International B.V.,55808646
Uber Netherlands B.V.,56193386
Uber Payments B.V.,71201157
Uber Portier B.V.,65851307
uberall B.V.,34289018
UBI GLS B.V.,73790680
Ubisoft B.V.,32069453
UBQ Materials NL B.V.,82534241
UBS Europe SE,66848717
UBsend B.V.,70588724
UCB Pharma B.V.,20049189
U-center B.V.,14100256
UFF African Agri Investments B.V.,62166867
UiPath Netherlands B.V.,71561544
UiPath Process Mining B.V.,09145879
"Uitvoeringsinstituut werknemersverzekeringen, Hoofdkantoor UWV",34360247
Uitzendwerk B.V.,68093276
Ukomst B.V.,51236028
UL International (Netherlands) B.V.,09103568
UL TS B.V.,28086600
U-Logs B.V.,84039787
Ulstein Design & Solutions B.V.,24316678
Ultimaker B.V.,56793138
Ultimate Software B.V.,64031829
Umbra B.V.,34180896
UMCG Universitair Medisch Centrum Groningen,01169570
uMOB B.V.,82484724
Unc Inc B.V.,64721868
Unconstrained Robotics B.V.,64165914
Undagrid B.V.,60455861
Under Armour Europe B.V.,34237352
Undeveloped B.V.,61079049
Undutchables Recruitment Agency B.V.,33277208
Unexus B.V.,74840266
UnfoldX B.V.,82008620
UNGA B.V.,34139221
Uni Phoenix B.V.,74566288
Unibail-Rodamco-Westfield N.V.,70898618
Unica Datacenters B.V.,06022065
Unicharm Molnlycke Baby B.V.,02066738
Unicharm Mölnlycke Incontinence B.V.,02066743
Unico Investments B.V.,59050357
Unicon Creation B.V.,08050030
Unicorn Systems NL B.V.,60323108
Unidoro B.V.,53014960
Uniform-Agri B.V.,04029997
Unify Energy B.V.,82039453
Unigas International,24116012
Unilever Europe B.V.,67383033
Unilever Europe Business Center B.V.,29005626
Unilever Foods & Refreshments Global B.V.,24152935
Unilever Innovation Centre Wageningen B.V.,24136290
Unilever IP Holdings B.V.,81003897
Unilever Nederland,24269393
Unilever Nederland Holdings B.V.,24053802
Unimpack B.V.,53014715
Unipat B.V.,27089246
Uniper Benelux N.V.,27028140
UNIQLO EUROPE LTD Dutch Branch,70787077
Unique ID B.V.,75519038
Unique Nederland B.V.,39031551
Unique System B.V.,24332536
Unique Technology Europe B.V.,18054486
uniQure biopharma B.V.,34275365
Unis Group Facilities B.V.,51728737
Unis Group R&D B.V.,01083462
Unispace B.V.,67070809
Unisun Energy B.V.,66682037
Unisys Nederland N.V.,33000201
Unit U Professionals B.V.,76679381
Unit040 Ontwerp B.V.,17196056
UNIT4 Business Software Netherlands B.V.,73574066
Unit4 Group Holding B.V.,82220123
UNIT4 MKB Software B.V.,24309362
"United Airlines, Inc.",34115686
United Fruits Group B.V.,64373576
United Group MC B.V.,65337786
United Imaging Healthcare Europe B.V.,94862419
United International Management B.V.,34269697
United MICE Travel & Trading B.V.,64164004
United Microelectronics (Europe) B.V.,33211073
United Parcel Service Nederland B.V.,34089270
United Petfood Nederland B.V.,17095607
United World College Maastricht,14126392
Unitron InnoTech B.V.,08090157
Unitura B.V.,81088035
Unity Monetary Services B.V.,34239397
Univar Solutions,24134696
Univé Dichtbij Organisatie B.V.,32164165
Universal Africa Lines B.V.,24161749
Universal Electronics B.V.,06067125
Universal International Music B.V.,31018439
Universal Music Group B.V.,81106661
UNIVERSAL Steel Holland B.V.,23057271
Universal Studios International B.V.,33127500
Universe Company Oy,71421130
Universe Im- & Export B.V.,30259368
Universitair Medisch Centrum Utrecht,30244197
Universiteit Leiden,27368929
Universiteit Maastricht,50169181
Universiteit Nyenrode B.V.,30201266
Universiteit Twente,50130536
Universiteit Utrecht,30275924
Universiteit van Amsterdam,34370207
Universiteit van Tilburg,41095855
University Industry Innovation Network B.V.,62128736
Uniview Europe B.V.,63820668
UNLOQ,55050727
Unovis Asset Management B.V.,75637545
Unquoted Advisory B.V.,84331909
Unsworth & Associates B.V.,34117808
Unusual People B.V.,70658188
U-People B.V.,56696701
Upfield Sourcing Nederland B.V.,63648083
Upfront B.V.,76913465
Upinion Netherlands B.V.,51837609
Upjohn Export B.V.,74464493
UPM-Kymmene B.V.,33111674
UPS SCS (Nederland) B.V.,34092797
Upscale Talent B.V.,82470480
Uranium One Coöperatief U.A.,34256224
Urban Gym Group B.V.,73124370
Urban Jazz B.V.,20130596
Urban Mobility Systems B.V.,67299008
urban-gro Europe B.V.,84460458
Urenco Nederland B.V.,06070616
URUS Europe B.V.,02040692
URW Europa B.V.,32078120
User Intelligence Netherlands B.V.,34342277
USG Engineering Professionals B.V.,31047854
Ushio Europe B.V.,33181420
USoft B.V.,32045194
USP Marketing Consultancy B.V.,24243535
UST Global (Netherlands) B.V.,67145434
Ustaca Holding B.V.,91297192
UT Quality B.V.,24424856
Utilus B.V.,66388406
Utomik Development B.V.,61448672
Utopia Exploitatie B.V.,73572624
Utr8 Holding B.V.,52164527
Utrechtse Zwemclub-Star-Combinatie (U.Z.S.C.),40479148
UV Smart Technologies B.V.,83929118
Uxus Europe B.V.,34291914
