Organisation,KVK number
X17 Group B.V.,78644739
X5 Retail Group N.V.,33143036
Xces B.V.,06082091
XD Connects B.V.,27115697
Xeamos B.V.,68069464
Xebia Data B.V.,58474447
Xebia Nederland B.V.,32102575
XebiaLabs B.V.,32154286
Xeelas B.V.,66430437
Xelion B.V.,27228063
Xella Cellenbeton Nederland B.V.,11006169
Xeltis B.V.,17108431
Xelvin Zuid B.V.,12066229
XEMC Darwind B.V.,24468790
Xemex B.V.,17144643
Xenikos B.V.,09206362
Xenon Arc EU B.V.,53330773
Xentral ERP Software B.V.,83406867
X-Flow B.V.,06050907
Xiamen Airlines Amsterdam Office,63555328
Xiaomi Technology Netherlands B.V.,72954914
Xiao's Import & Export B.V.,75138832
Xillio Labs B.V.,62045326
Ximedes B.V.,59479477
Ximius B.V.,76350800
Xinaps B.V.,63458926
Xinhuanet Europe B.V.,62745166
XIP B.V.,66101190
Xite Networks Netherlands B.V.,64027872
"XL Catlin Services SE, Netherlands Branch",66936519
Xlab Cloud Services B.V.,30158924
Xlence Renovatie B.V.,89771613
Xomnia B.V.,57245886
XOsight B.V.,74846108
XPAR Vision B.V.,33255722
XPark B.V. i.o.,82554935
XPEL B.V.,65627555
XPeng European Holding B.V.,81736061
Xperit Solutions B.V.,51109220
Xpol B.V.,27193401
Xprtise B.V.,61250473
XR Trading EU B.V.,72559195
XS Investments B.V.,27292773
Xsens Holding B.V.,08088230
Xstate B.V.,74438441
X-Systems B.V.,65106296
Xternal Consultancy B.V.,27380257
XVIVO B.V.,01135421
XVR Simulation B.V.,09110539
XWITS B.V.,33252019
XXImo Financial Services B.V.,84501901
XXImo Holding B.V.,27264588
xxllnc Zaakgericht B.V.,51902672
