Organisation,KVK number
YA Works B.V.,34314368
YaBand Telecom B.V.,56197977
Yacht B.V.,62880942
Yacht NL B.V.,33247719
Yaghma B.V.,84842857
Yakult Europe B.V.,33278683
Yama Products B.V.,30040105
Yamada Europe B.V.,06053717
Yamaha Motor Europe N.V.,34084613
Yamasa Europe B.V.,64525961
Yamato Transport Europe B.V.,24172596
Yang Ming (Netherlands) B.V.,24355853
Yanmar B.V.,86915401
Yanmar Europe B.V.,39064873
Yapi Kredi Bank Nederland N.V.,33278349
YAPIARTI B.V.,68487711
Yara Nederland B.V.,21015964
Yara Sluiskil B.V.,21001824
Yara Vlaardingen B.V.,22049559
Yardi Systems B.V.,34198925
Yash Technologies B.V.,57269904
Yaskawa Benelux B.V.,20087925
YC Amsterdam B.V.,34299379
YCP Solidiance International B.V.,73816973
YDATALYTICS Netherlands B.V.,62593811
Yellow Step Solar B.V.,51358360
Yellowbrick B.V.,51509458
Yellowbrick International B.V.,61575372
Yellowstone Contract Management B.V.,17214486
Yellowstone Managed Services B.V.,13042315
Yellowtail B.V.,34186479
Yellowtail Control Solutions B.V.,75464861
Yenlo Nederland B.V.,61417025
Yep Ads B.V.,62360329
Yeply Netherlands B.V.,84039841
YER Engineering B.V.,61786535
YER Professionals B.V.,53573854
"Yesform Co.,Ltd.",69756163
YETI Europe B.V.,82237980
YHUI B.V.,50134671
Yildirim Asset Management Holding B.V.,16059530
Yildirim International Management Services B.V.,60970812
Yili Innovation Center Europe B.V.,59903562
Yinson Boronia Production B.V.,74100815
Yinson Production (The Netherlands) B.V.,88586340
Yiteng Agricultural Science and Technology B.V.,70167311
YiTT B.V.,84699477
Ynvolve B.V.,09164735
Yoast B.V.,55404367
Yobbers B.V.,68479441
Yokogawa Europe B.V.,31024364
Yokogawa Europe Solutions B.V.,33241208
Yokogawa Process Analyzers Europe B.V.,33179023
Yokoy (Netherlands) B.V.,84480742
Yondr Netherlands B.V.,73356255
Yong Da B.V.,53146328
Yore B.V.,58010041
Yorteam B.V.,52208702
Yoshion Europe B.V.,73769932
Young Colfield B.V.,24361465
Young Financials B.V.,34227502
Young Living Europe B.V.,73123404
YoungCapital B.V.,28087078
YoungCapital Flex B.V.,34199422
YoungCapital International B.V.,34330199
YoungCapital Professionals Talent Development B.V.,61267317
Youngcapital Staff B.V.,59659653
Your Majesty,52030725
YourCampus B.V.,81844646
Your-Career B.V.,64784541
Yource B.V.,52683702
YourFlow B.V.,69952957
Youvia B.V.,27198207
Youwe Commerce B.V.,51792737
Youwe Online B.V.,34126832
YP Your Partner B.V.,01084429
YTEC Development B.V.,01148001
Yu Steenwijk Holding B.V.,53532139
YUCONVR B.V.,89935314
Yukiguni Maitake Netherlands Holdings B.V.,91759544
YUME Hoogeveen B.V.,66779901
YUMEMI B.V.,74783211
Yumen Bionics B.V.,67172016
YumiFresh B.V.,78336767
Yunex Traffic B.V.,82015694
YunExpress Europe B.V.,78487811
YunExpress Supply Chain Solution B.V.,78487633
Yusen Logistics (Benelux) B.V.,24157614
Yusen Logistics (Europe) B.V.,33234439
Yxion B.V.,27247621
