Organisation,KVK number
Zaffra B.V.,92040985
Zafin Labs AG,70868468
Zalando Logistics Operations Netherlands B.V.,72853891
Zalen Pakhuis de Zwijger B.V.,34231791
Zanders B.V.,30112147
Zandgroup AB,76701158
Zara Holding B.V.,20080272
ZARGAR,61416800
Zasco B.V.,24192352
ZEASN Europe B.V.,67296610
Zebra Technologies B.V.,01106766
Zeeland Refinery N.V.,22020666
Zeelandia H.J. Doeleman B.V.,22009211
Zeelandia Investments Holding B.V.,64545415
ZEEMAN textielSupers B.V.,28034863
ZEF B.V.,69128588
Zego B.V.,78746930
Zehnder Group Zwolle B.V.,05022293
ZEHUA Tower Services B.V.,63404338
Zelfstroom B.V.,60238828
Zelus Sport B.V.,77380150
Zematra B.V.,24259229
Zen Home Rentals,70379904
ZEN Software B.V.,73422614
Zencargo NL B.V.,83868321
Zener Maritime Solutions B.V.,63420228
ZeniMax Benelux B.V.,50908782
Zenith Energy Amsterdam Terminal B.V.,64731820
Zenmo GGZ B.V.,91974313
Zensar Information Technologies B.V.,77999940
Zensar Technologies IM B.V.,09079723
Zenz Technologies B.V.,57762368
Zephyr Services B.V.,77904273
zepp.solutions B.V.,68331401
Zeren Group Energy B.V.,86098438
Zero Density Netherlands B.V.,91908094
Zerocopter B.V.,63716437
Zerotrillion B.V.,72876700
Zertic B.V.,17182921
Zest B.V.,56561105
ZESTIOT TECHNOLOGIES B.V.,90742028
Zeta Alpha Vector B.V.,74985515
Zetadec B.V.,52256146
ZETES B.V.,17073654
Zeton B.V.,06054827
ZettaScale Technology B.V,53357442
Zeustrak B.V.,72491833
ZF Marine Krimpen B.V.,24299979
ZF Services Nederland B.V.,27136592
Z-H Kabeltechniek B.V.,85110752
Zhonghongjian (Holland) B.V.,34348120
ZIEATECH B.V.,73292036
Ziekenhuis Nij Smellinghe,41000763
ZIEMANN Cashservice Holding NL B.V.,85804703
Ziggo B.V.,37026706
Ziggo Services Employment B.V.,34118291
Zijtveld Grijpers B.V.,32062041
Zilverline B.V.,34377452
Zimmer Biomet Nederland B.V.,31041140
ZIRA B.V.,82692580
ZiuZ Research B.V.,53663438
ZIVVER Holding B.V.,62937057
ZJA B.V.,30108316
ZM Media B.V.,75668475
ZNAPZ B.V.,52889300
ZoBio B.V.,28103137
Zoho Corporation B.V.,63503387
Zoku International B.V.,60864648
ZOLA Electric Netherlands B.V.,67908543
Zoll International Holding B.V.,31044345
Zon & Zo - ERD B.V.,80305342
Zon Impex Trading B.V.,59298464
Zoncoalitie Exploitatie B.V.,68802722
Zonel Energy Systems B.V.,53539877
Zones Urbaines Sensibles Public B.V.,24323710
Zonnepanelendelen B.V.,56170319
Zonnepark Services Nederland B.V.,78462363
Zonnestroom Nederland B.V.,68548745
Zoofy B.V.,63693771
Zoom-BIM Solutions B.V.,33296884
Zoomlion Heavy Industry Netherlands B.V.,91901103
ZooStation B.V.,63536846
Zoover Media B.V.,08091035
ZorgDomein Nederland B.V.,34142150
Zorgfactory B.V.,04061562
ZorgXchange B.V.,74508008
ZP Europe B.V.,34216087
ZPMC Netherlands B.V.,55834043
Zscaler Netherlands B.V.,67202829
ZTE Coöperatief U.A.,27356603
ZTE Netherlands B.V.,27280641
Zurich Insurance Europe AG,27293233
ZV Control & Finance B.V.,81608195
ZVC Netherlands B.V.,72895977
Zycus Infotech Netherlands B.V.,71493166
ZyLAB Technologies B.V.,34284277
ZyXel Communications B.V.,34261162
